display,name,revenue_mln,avg_price,parent_category,full_path,issues,fix_action
Автомобили новые,Автомобили новые,3566.4,0.0,Транспортные средства,Транспортные средства/Автомобили,no_price,MPStats refresh
Катализаторы автомобильные,Катализаторы автомобильные,115.6,2368.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Матрешки,Матрешки,102.6,1220.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Дифференциалы автомобильные,Дифференциалы автомобильные,74.6,2336.5,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Шлиф-ленты,Шлиф-ленты,73.9,811.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Облучатели-рециркуляторы,Облучатели-рециркуляторы,66.9,2841.5,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Стамески,Стамески,66.4,975.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Туалеты-ведра,Туалеты-ведра,44.3,2444.5,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Кельмы,Кельмы,43.6,724.5,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Флейты,Флейты,34.5,1049.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Шаблоны строительные,Шаблоны строительные,31.9,1329.5,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Вышки-туры,Вышки-туры,29.1,9752.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Плоттеры,Плоттеры,24.7,2467.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Буферы автомобильные,Буферы автомобильные,24.0,733.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Вспомогательные передачи,Вспомогательные передачи,23.6,1271.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Витаминно-минеральные препараты,Витаминно-минеральные препараты,21.3,0.0,Лекарственные препараты,Лекарственные препараты,no_price,MPStats refresh
Кии бильярдные,Кии бильярдные,19.5,1262.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Лапы,Лапы,17.3,1467.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Пиротехника,Пиротехника,15.2,2310.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Ввёртыши,Ввёртыши,14.1,659.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Атласы учебные,Атласы учебные,14.1,477.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Отсадники для рыб,Отсадники для рыб,13.5,971.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Блокировки дифференциалов,Блокировки дифференциалов,13.0,10641.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Выпускные газопроводы,Выпускные газопроводы,12.4,1453.5,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Препараты для пищеварительной системы,Препараты для пищеварительной системы,11.5,0.0,Здоровье,Здоровье/БАДы/Для пищеварения и обмена веществ,no_price,MPStats refresh
Пессарии,Пессарии,11.4,1903.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Стрелы для лука,Стрелы для лука,11.1,2837.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Оргстекла,Оргстекла,11.1,1082.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Шейки оси автомобильные,Шейки оси автомобильные,10.7,1128.5,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Фетальные допплеры,Фетальные допплеры,9.7,1102.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Дерматологические препараты,Дерматологические препараты,8.9,0.0,Лекарственные препараты,Лекарственные препараты,no_price,MPStats refresh
Недоуздки,Недоуздки,8.8,1367.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Торсионные демпферы,Торсионные демпферы,8.0,1190.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Этюдники,Этюдники,7.6,1107.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Маяки строительные,Маяки строительные,7.4,1001.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Шарниры коленчатые,Шарниры коленчатые,7.3,1872.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Наглядные пособия,Наглядные пособия,7.1,674.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Продукты / Мороженое,Мороженое,7.0,0.0,Продукты,Продукты/Замороженная продукция/Мороженое,no_price,MPStats refresh
Продукты / Коктейли,Коктейли алкогольные,6.7,0.0,Продукты,Продукты/Алкоголь/Коктейли/Коктейль алкогольный,no_price,MPStats refresh
Колодцы,Колодцы,6.5,4027.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Наковальни,Наковальни,6.4,1361.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Сваи,Сваи,5.9,1474.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Багорики,Багорики,5.6,693.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Дыхательные контуры,Дыхательные контуры,5.1,692.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Торсионы автомобильные,Торсионы автомобильные,5.1,2971.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Солемеры,Солемеры,4.3,493.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Гидроуровни,Гидроуровни,4.1,854.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Шагомеры,Шагомеры,4.0,525.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Противоварикозные препараты,Противоварикозные препараты,3.9,0.0,Лекарственные препараты,Лекарственные препараты,no_price,MPStats refresh
Водосгоны автомобильные,Водосгоны автомобильные,3.6,679.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Оксиметры,Оксиметры,3.4,632.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Противогрибковые препараты,Противогрибковые препараты,3.3,0.0,Лекарственные препараты,Лекарственные препараты,no_price,MPStats refresh
Автомобили с пробегом,Автомобили с пробегом,3.2,0.0,Транспортные средства,Транспортные средства/Автомобили,no_price,MPStats refresh
Стрелы арбалетные,Стрелы арбалетные,3.1,1038.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Антигистаминные препараты,Антигистаминные препараты,2.6,0.0,Лекарственные препараты,Лекарственные препараты,no_price,MPStats refresh
Подпятники автомобильные,Подпятники автомобильные,2.3,567.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Блокаторы вирусов,Блокаторы вирусов,2.3,582.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Сертификаты расширенной гарантии,Сертификаты расширенной гарантии,1.9,1232.5,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Раколовки,Раколовки,1.8,609.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Разметки для игр,Разметки для игр,1.7,946.5,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Совочки,Совочки,1.6,635.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Центроискатели,Центроискатели,1.5,785.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Препараты от вредных привычек,Препараты от вредных привычек,1.5,0.0,Лекарственные препараты,Лекарственные препараты,no_price,MPStats refresh
Туторы пальцевые,Туторы пальцевые,1.3,821.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Всасывающие шноркели,Всасывающие шноркели,1.3,2086.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Подшивы,Подшивы,1.0,626.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Горжетки,Горжетки,0.6,1467.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Противогеморроидальные препараты,Противогеморроидальные препараты,0.6,0.0,Лекарственные препараты,Лекарственные препараты,no_price,MPStats refresh
Стоматологические препараты,Стоматологические препараты,0.5,0.0,Лекарственные препараты,Лекарственные препараты,no_price,MPStats refresh
Ершовая загрузка,Ершовая загрузка,0.4,326.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Накатки для лыж,Накатки для лыж,0.4,2098.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Продукты / Пироги,Пироги,0.3,0.0,Продукты,"Продукты/Сладости и хлебобулочные изделия/Пироги, сдоба, кексы, рулеты/Пирог",no_price,MPStats refresh
Тороки для дичи,Тороки для дичи,0.3,591.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Замороженные вторые блюда,Замороженные вторые блюда,0.3,0.0,Продукты,Продукты/Готовая еда/Закуски/Замороженные вторые блюда,no_price,MPStats refresh
Продукты / Стритфуд,Стритфуд,0.3,0.0,Продукты,Продукты/Готовая еда/Закуски/Стритфуд,no_price,MPStats refresh
Высотомеры,Высотомеры,0.2,2962.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Панельки под микросхемы,Панельки под микросхемы,0.2,432.5,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Саке,Саке,0.2,3720.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Акции / Филе,Филе,0.2,0.0,Акции,Акции/Дачные скидки/Продукты/Мясная продукция/Филе,no_price,MPStats refresh
Шпиндели автомобильные,Шпиндели автомобильные,0.2,1562.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Верёвочные перекладины,Верёвочные перекладины,0.2,499.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Продукты / Фрикадельки,Фрикадельки,0.2,0.0,Продукты,Продукты/Бакалея/Крупы/Фрикадельки,no_price,MPStats refresh
Продукты / Блины,Блины,0.2,0.0,Продукты,Продукты/Готовая еда/Закуски/Блины,no_price,MPStats refresh
Солезаменители,Солезаменители,0.2,296.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Продукты / Сырники,Сырники,0.2,0.0,Продукты,Продукты/Здоровое питание/Сырники,no_price,MPStats refresh
Продукты / Пицца,Пицца,0.1,0.0,Продукты,Продукты/Готовая еда/Пицца,no_price,MPStats refresh
Продукты / Вареники,Вареники,0.1,0.0,Продукты,Продукты/Вкусные подарки/Вареники,no_price,MPStats refresh
Продукты / Сэндвичи,Сэндвичи,0.1,0.0,Продукты,Продукты/Готовая еда/Закуски/Сэндвичи,no_price,MPStats refresh
Люля-кебаб,Люля-кебаб,0.1,146.5,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Пантолеты,Пантолеты,0.1,1500.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Продукты / Голубцы,Голубцы,0.1,0.0,Продукты,Продукты/Бакалея/Консервация/Голубцы,no_price,MPStats refresh
Лангустины,Лангустины,0.1,1829.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Продукты / Замороженная пицца,Замороженная пицца,0.0,0.0,Продукты,Продукты/Готовая еда/Закуски/Замороженная пицца,no_price,MPStats refresh
Хинкали,Хинкали,0.0,0.0,БЕЗ ПУТИ,,"no_path, no_price",Поиск пути (Claude)
Продукты / Пирожки,Пирожки,0.0,0.0,Продукты,Продукты/Снеки/Пирожки,no_price,MPStats refresh
Блейзеры,Блейзеры,0.0,0.0,БЕЗ ПУТИ,,"no_path, no_price",Поиск пути (Claude)
Катык,Катык,0.0,0.0,БЕЗ ПУТИ,,"no_path, no_price",Поиск пути (Claude)
Продукты / Готовые салаты,Готовые салаты,0.0,0.0,Продукты,Продукты/Готовая еда/Салаты/Готовый салат,no_price,MPStats refresh
Продукты / Сорбет,Сорбет,0.0,0.0,Продукты,"Продукты/Сладости и хлебобулочные изделия/Желе, крем-десерты, пудинги/Сорбет",no_price,MPStats refresh
Продукты / Чиабатта,Чиабатта,0.0,0.0,Продукты,Продукты/Готовая еда/Остальное/Чиабатта,no_price,MPStats refresh
Шницели,Шницели,0.0,414.5,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Слиперы,Слиперы,0.0,2556.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Монокини,Монокини,0.0,2873.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Бекон,Бекон,0.0,187.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Тяговые аккумуляторные батареи,Тяговые аккумуляторные батареи,0.0,11723.0,Автотовары,Автотовары/Запчасти/Электрооборудование/Запуск и питание/Аккумулятор для автомобиля,zero_revenue,Мёртвая ниша
Зоотовары / Мицеллярная вода для животных,Мицеллярная вода,0.0,554.0,Зоотовары,Зоотовары/Груминг и уход/Мицеллярная вода для животных,zero_revenue,Мёртвая ниша
Запеканки,Запеканки,0.0,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue, no_price",Мёртвая ниша (нет пути)
Кумыс,Кумыс,0.0,1269.0,БЕЗ ПУТИ,,"no_path, zero_revenue",Мёртвая ниша (нет пути)
Дом / Фитинги,Фитинги для насосов,0.0,1046.0,Сад и дача,Сад и дача/Насосное оборудование/Шланг всасывающий для насоса,zero_revenue,Мёртвая ниша
Зажигалки электронные,Зажигалки электронные,0.0,618.0,Дом,Дом/Кухня/Кухонная утварь/Пьезозажигалки,zero_revenue,Мёртвая ниша
Мультиметры,Мультиметры,0.0,1357.0,БЕЗ ПУТИ,,"no_path, zero_revenue",Мёртвая ниша (нет пути)
Агроперлит,Агроперлит,0.0,9682.5,БЕЗ ПУТИ,,"no_path, zero_revenue",Мёртвая ниша (нет пути)
Красота / Шампуни,Шампуни для париков,0.0,10126.0,Красота,Красота/Инструменты для парикмахеров/Инструменты и принадлежности/Аксессуары для парикмахеров,zero_revenue,Мёртвая ниша
Женщинам / Бандажи,Бандажи локтевые,0.0,610.0,Здоровье,Здоровье/Ортопедия/Бандажи и ортезы,zero_revenue,Мёртвая ниша
Сад и дача / Бак для бани,Настои для бани,0.0,9932.0,Мужчинам,Мужчинам/Подарки мужчинам/Для дома/Набор аксессуаров для бани,zero_revenue,Мёртвая ниша
Аксессуары / Бант,Бантики для животных,0.0,299.0,Аксессуары,Аксессуары/Ремни и пояса/Аксессуары для животных,zero_revenue,Мёртвая ниша
Продукты / Икра улитки,Икра улитки,0.0,1759.5,Продукты,Продукты/Бакалея/Консервация/Икра улитки,zero_revenue,Мёртвая ниша
Шашки казачьи,Шашки казачьи,0.0,4361.5,БЕЗ ПУТИ,,"no_path, zero_revenue",Мёртвая ниша (нет пути)
Канцтовары / Клей,Клей эпоксидный,0.0,330.5,Для ремонта,Для ремонта/Лакокрасочные материалы/Покрытия для дерева/Клей строительный,zero_revenue,Мёртвая ниша
Грузовой и коммерческий транспорт,Грузовой и коммерческий транспорт,0.0,4623200.0,Транспортные средства,Транспортные средства/Грузовой и коммерческий транспорт,zero_revenue,Мёртвая ниша
Дом / Кресла,Кресла-глайдеры,0.0,12800.0,Дом,Дом/Гостиная/Мебель/Кресло-качалка,zero_revenue,Мёртвая ниша
Дом / Пьезозажигалки,Зажигалки бензиновые,0.0,352.0,Дом,Дом/Кухня/Кухонная утварь/Пьезозажигалки,zero_revenue,Мёртвая ниша
Для ремонта / Мел,Ламели для кровати,0.0,1229.0,Дом,Дом/Спальня/Мебель/Основание для кровати,zero_revenue,Мёртвая ниша
Электроника / Цифровые ручки,Уровни цифровые,0.0,4500.0,Для ремонта,Для ремонта/Инструменты и оснастка/Измерительные приборы/Комплектующие для лазерного уровня и нивелира,zero_revenue,Мёртвая ниша
Кусторезы электрические,Кусторезы электрические,0.0,9763.0,Сад и дача,Сад и дача/Садовые инструменты/Садовый режущий инструмент/Кусторез,zero_revenue,Мёртвая ниша
Ребрышки,Ребрышки,0.0,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue, no_price",Мёртвая ниша (нет пути)
Подхваты,Подхваты,0.0,333.5,БЕЗ ПУТИ,,"no_path, zero_revenue",Мёртвая ниша (нет пути)
