display,name,revenue_mln,avg_price,parent_category,full_path,issues,fix_action
Чокеры ювелирная бижутерия,Чокеры ювелирная бижутерия,0.0,564.0,Аксессуары,Аксессуары/Бижутерия/Чокеры,zero_revenue,Мёртвая ниша
Транспортные средства / Хаусбот,Хаусботы,0.0,17070625.0,Транспортные средства,Транспортные средства/Водомоторная техника/Хаусбот,zero_revenue,Мёртвая ниша
Транспортные средства / Катер,Катера,0.0,4055000.0,Транспортные средства,Транспортные средства/Водомоторная техника/Катер,zero_revenue,Мёртвая ниша
Шорты пижамные,Шорты пижамные,0.0,394.0,Детям,Детям/Для девочек/Пижамы и сорочки/Пижама,zero_revenue,Мёртвая ниша
Модули управления центральным замком,Модули управления центральным замком,0.0,855.0,Автотовары,Автотовары/Другие аксессуары и доп. оборудование/Электроника/Электрика и управление/Центральный замок,zero_revenue,Мёртвая ниша
Переходники для бассейна,Переходники для бассейна,0.0,1414.5,Сад и дача,Сад и дача/Бассейны/Аксессуары для бассейнов/Аксессуар для бассейна,zero_revenue,Мёртвая ниша
Кресла и пуфы надувные,Кресла и пуфы надувные,0.0,620.0,Мебель,Мебель/Диваны и кресла/Пуфы,zero_revenue,Мёртвая ниша
Запчасти для систем автополива,Запчасти для систем автополива,0.0,1262.0,Сад и дача,Сад и дача/Полив/Системы автополива и запчасти,zero_revenue,Мёртвая ниша
Подстилки для бассейнов,Подстилки для бассейнов,0.0,2789.0,Сад и дача,Сад и дача/Товары для бани и сауны/Предметы интерьера бани/Подстилки противоскользящие,zero_revenue,Мёртвая ниша
Продукты / Приправы и специи,Специи,0.0,312.0,Продукты,Продукты/Бакалея/Приправы и специи,zero_revenue,Мёртвая ниша
Платы для светильников,Платы для светильников,0.0,7983.0,Дом,Дом/Освещение/Комплектующие для светильников,zero_revenue,Мёртвая ниша
Цифровые листы для записи,Цифровые листы для записи,0.0,274.5,Канцтовары,Канцтовары/Бумажная продукция/Ежедневники и записные книжки/Книга для записи рецептов,zero_revenue,Мёртвая ниша
Красота / Маникюрные наборы,Пушеры маникюрные,0.0,280.5,Красота,Красота/Аксессуары/Для маникюра и педикюра/Инструмент для маникюра и педикюра,zero_revenue,Мёртвая ниша
