display,name,niche_status,revenue,avg_price,commission,buyout_pct,profit_pct,sellers_with_sales,mpstats_path,issues,is_critical
Сад и дача / Шкафы распашные,Шкафы распашные,,"7,231,515,960","23,674",2650.0%,0.0%,0.0%,220,Мебель/Мебель для хранения/Шкафы/Шкаф распашной,"no_buyout, no_profit",False
Хозяйственные товары,Хозяйственные товары,seasonal,"5,716,922,539",521,2950.0%,0.0%,0.0%,0,Дом/Хозяйственные товары,"no_buyout, no_profit, no_sellers",False
Автомобили новые,Автомобили новые,,"3,566,394,252","2,831,195",50.0%,0.0%,7.0%,20,Транспортные средства/Автомобили,no_buyout,False
Футболки пижамные,Футболки пижамные,seasonal,"1,784,788,902",839,0.0%,0.0%,40.6%,0,Мужчинам/Футболки,"no_commission, no_buyout, no_sellers",False
Дом / Средства для стирки,Средства для стирки,seasonal,"1,582,134,833",714,0.0%,100.0%,37.7%,0,Дом/Бытовая химия/Средства для стирки,"no_commission, no_sellers",False
Здоровье / Для женского здоровья,Страхование здоровья,seasonal,"1,548,906,880",984,2350.0%,100.0%,0.0%,0,Здоровье/БАДы/Для женского здоровья,"no_profit, no_sellers",False
Бамперы для снегоходов,Бамперы для снегоходов,,"1,521,044,997","7,121",2150.0%,0.0%,0.0%,55,Автотовары/Мототовары/Детали корпуса/Бампер для снегохода,"no_buyout, no_profit",False
Женщинам / Шубы натуральные,Шубы чебурашки,seasonal,"1,493,732,577","5,276",0.0%,0.0%,54.4%,0,Женщинам/Большие размеры/Верхняя одежда/Шубы искусственные,"no_commission, no_buyout, no_sellers",False
Женщинам / Ювелирные украшения,Ювелирные украшения,seasonal,"1,401,169,337","4,559",3300.0%,0.0%,0.0%,0,Женщинам/Подарки женщинам/Ювелирные украшения,"no_buyout, no_profit, no_sellers",False
Автотовары / Багажные боксы,Багажные боксы,,"1,179,958,048","8,682",2650.0%,68.3%,0.0%,110,Автотовары/Аксессуары в салон и багажник/Автокресла и аксессуары/Багажные боксы,no_profit,False
Электроника / Цифровые ручки,Цифровые книги,seasonal,"1,046,358,149",211,0.0%,0.0%,0.0%,0,Книги,"no_commission, no_buyout, no_profit, no_sellers",False
Рубашки пижамные,Рубашки пижамные,seasonal,"1,003,971,054",713,0.0%,100.0%,37.6%,0,Мужчинам/Рубашки,"no_commission, no_sellers",False
Мужчинам / Топы,Топы пижамные,seasonal,"924,135,785",494,0.0%,43.8%,29.1%,0,Женщинам/Большие размеры/Одежда для дома/Топы,"no_commission, no_sellers",False
Продукты / Вина,Вина,,"699,750,170","2,140",950.0%,0.0%,0.0%,7,Продукты/Алкоголь/Вина,"no_buyout, no_profit",False
Бытовая техника / Сушильные машины,Сушильные машины,,"622,424,405","58,401",1950.0%,0.0%,0.0%,112,Бытовая техника/Крупная бытовая техника/Стиральные и сушильные машины/Сушильные машины,"no_buyout, no_profit",False
Продукты / Приправы и специи,Специи,seasonal,"467,303,013",312,0.0%,100.0%,12.8%,0,Продукты/Бакалея/Приправы и специи,"no_commission, no_sellers",False
Шорты пижамные,Шорты пижамные,seasonal,"424,103,566",394,0.0%,78.4%,22.0%,0,Детям/Для девочек/Пижамы и сорочки/Пижама,"no_commission, no_sellers",False
Женщинам / Топ,Топсайдеры,seasonal,"385,907,349","2,658",0.0%,54.6%,51.8%,0,Обувь/Мужская/Мокасины и топсайдеры,"no_commission, no_sellers",False
Тяговые аккумуляторные батареи,Тяговые аккумуляторные батареи,seasonal,"360,370,229","11,723",0.0%,100.0%,55.8%,0,Автотовары/Запчасти/Электрооборудование/Запуск и питание/Аккумулятор для автомобиля,"no_commission, no_sellers",False
Продукты / Виски,Виски,,"337,193,909","6,470",950.0%,0.0%,0.0%,5,Продукты/Алкоголь/Крепкие напитки/Виски,"no_buyout, no_profit",False
Удалитель накладных ресниц,Удалитель накладных ресниц,seasonal,"332,224,527",406,0.0%,93.2%,23.0%,0,Красота/Макияж/Глаза/Клей для накладных ресниц,"no_commission, no_sellers",False
Удобрения для комнатных растений,Удобрения для комнатных растений,seasonal,"326,710,607",360,0.0%,100.0%,18.7%,0,Сад и дача/Удобрения и уход за растениями/Удобрения/Удобрение для растений,"no_commission, no_sellers",False
Для ремонта / Рейки декоративные,Рейки нивелирные,seasonal,"241,628,268","9,600",0.0%,50.0%,55.6%,0,Для ремонта/Инструменты и оснастка/Измерительные приборы/Нивелир,"no_commission, no_sellers",False
Женщинам / Свечи,Фитосвечи,seasonal,"220,675,206",312,0.0%,91.3%,12.8%,0,Женщинам/Подарки женщинам/Для дома/Свечи,"no_commission, no_sellers",False
Автотовары / Краскопульты,Пульты игровые,seasonal,"218,734,517","1,667",0.0%,100.0%,48.7%,0,Детям/Детская электроника/Игровая консоль,"no_commission, no_sellers",False
Продукты / Водка,Водка,,"195,379,323","1,099",950.0%,0.0%,0.0%,6,Продукты/Алкоголь/Крепкие напитки/Водка,"no_buyout, no_profit",False
Продукты / Коньяк,Коньяк,,"195,348,073","3,920",950.0%,0.0%,0.0%,6,Продукты/Алкоголь/Крепкие напитки/Коньяк,"no_buyout, no_profit",False
Женщинам / Топ,Мотопомпы,,"191,989,070","3,048",3050.0%,100.0%,0.0%,207,Для ремонта/Силовая техника и оборудование/Мотопомпа,no_profit,False
Продукты / Пиво,Пиво,,"186,355,166",119,950.0%,0.0%,0.0%,2,Продукты/Алкоголь/Пиво,"no_buyout, no_profit",False
Сад и дача / Теплица,Форточки для теплиц,seasonal,"179,717,717",882,0.0%,100.0%,41.4%,0,"Сад и дача/Теплицы, парники, укрывной материал/Теплицы и аксессуары/Комплектующие для теплиц","no_commission, no_sellers",False
Для ремонта / Поролон,Поролон,,"174,907,399","1,700",2800.0%,0.0%,67.9%,186,Для ремонта/Стройматериалы/Изоляционные материалы/Поролон,no_buyout,False
Автотовары / Свечи накаливания,Свечи накаливания,,"172,534,013","1,473",2650.0%,0.0%,66.4%,228,Автотовары/Запчасти/Электрооборудование/Запуск и питание/Свеча накаливания,no_buyout,False
Автотовары / Цепи ГРМ,Цепи строительные,,"171,601,298","1,944",2850.0%,0.0%,67.6%,246,Автотовары/Запчасти/Топливная система/Форсунки/Цепи ГРМ,no_buyout,False
Для ремонта / Вибротехника,Вибротехника,,"160,708,815","5,658",2850.0%,78.3%,0.0%,152,Для ремонта/Силовая техника и оборудование/Вибротехника,no_profit,False
Автотовары / Технический тальк,Технический тальк,,"160,634,507",669,2150.0%,0.0%,0.0%,75,Автотовары/Автокосметика и автохимия/Прочее: автохимия/Технический тальк,"no_buyout, no_profit",False
Сад и дача / Бак для бани,Шайки для бани,seasonal,"158,431,081","3,114",0.0%,100.0%,52.6%,0,Сад и дача/Товары для бани и сауны/Банный текстиль/Набор аксессуаров для бани,"no_commission, no_sellers",False
Красота / Шампуни,Шампуни для бани,seasonal,"145,959,520",168,0.0%,100.0%,0.0%,0,Красота/Аптечная косметика/Крем для бани,"no_commission, no_profit, no_sellers",False
Средства от педикулеза,Средства от педикулеза,seasonal,"143,706,777",723,0.0%,0.0%,37.9%,0,Адаптивные товары/Средства реабилитации,"no_commission, no_buyout, no_sellers",False
Цепочки ювелирная бижутерия,Цепочки ювелирная бижутерия,seasonal,"135,682,387","2,760",0.0%,100.0%,52.0%,0,Аксессуары/Бижутерия/Цепочки/Цепочка,"no_commission, no_sellers",False
Электроника / Цифровые ручки,Цифровые коды,seasonal,"131,224,504","27,500",0.0%,0.0%,56.5%,0,"Электроника/Ноутбуки, компьютеры и периферия/Аксессуары для ноутбуков/Цифровые ручки","no_commission, no_buyout, no_sellers",False
Электроника / Цифровые ручки,Цифровые видеокурсы,seasonal,"131,224,504",370,0.0%,0.0%,19.7%,0,"Электроника/Ноутбуки, компьютеры и периферия/Аксессуары для ноутбуков/Цифровые ручки","no_commission, no_buyout, no_sellers",False
Для ремонта / Сайдинг панели,Сайдинг панели,,"131,096,591","6,472",2600.0%,0.0%,0.0%,69,Для ремонта/Стройматериалы/Облицовка фасада/Сайдинг панель,"no_buyout, no_profit",False
Чокеры ювелирная бижутерия,Чокеры ювелирная бижутерия,seasonal,"114,585,366",564,0.0%,100.0%,32.5%,0,Аксессуары/Бижутерия/Чокеры,"no_commission, no_sellers",False
Мебель / Кресла оператора,Кресла оператора,,"109,158,507","10,875",2600.0%,100.0%,0.0%,39,Мебель/Офисная мебель/Стулья и кресла/Кресло оператора,no_profit,False
Дом / Репелленты,Репелленты,seasonal,"97,658,892",294,0.0%,100.0%,10.1%,0,Дом/Отдых на природе/Репелленты,"no_commission, no_sellers",False
Промышленное оборудование и комплектующие,Промышленное оборудование и комплектующие,,"94,520,791","1,146",3000.0%,0.0%,56.5%,344,Для ремонта/Силовая техника и оборудование/Промышленное оборудование и комплектующие,no_buyout,False
Для ремонта / Канаты такелажные,Канаты такелажные,,"93,527,293",968,2850.0%,0.0%,0.0%,63,Для ремонта/Крепеж/Такелаж/Канат такелажный,"no_buyout, no_profit",False
Шторы и аксессуары,Шторы и аксессуары,seasonal,"88,644,869","4,141",2950.0%,0.0%,0.0%,0,Дом/Шторы/Аксессуары/Аксессуары для штор,"no_buyout, no_profit, no_sellers",False
Красота / Муссы,Муссы мясные,seasonal,"88,330,358","1,319",1650.0%,0.0%,0.0%,0,Продукты/Мясная продукция/Консервы мясные,"no_buyout, no_profit, no_sellers",False
Электроника / Цифровые ручки,Цифровые учебники,seasonal,"88,163,330",304,0.0%,0.0%,11.6%,0,Книги/Образование/Учебник,"no_commission, no_buyout, no_sellers",False
Красота / Шампуни,Шампуни для париков,seasonal,"86,742,831","10,126",0.0%,0.0%,55.6%,0,Красота/Инструменты для парикмахеров/Инструменты и принадлежности/Аксессуары для парикмахеров,"no_commission, no_buyout, no_sellers",False
Бытовая техника / Гладильные системы,Гладильные системы,,"81,993,691","6,744",2550.0%,0.0%,0.0%,92,Бытовая техника/Техника для дома/Утюги и отпариватели/Гладильная система,"no_buyout, no_profit",False
Сад и дача / Шланги садовые,Шланги для пылесосов,seasonal,"78,773,196","2,456",0.0%,84.6%,51.4%,0,Бытовая техника/Техника для дома/Аксессуары для пылесосов/Запчасть для пылесоса,"no_commission, no_sellers",False
Мужчинам / Топы,Стопы для фистинга,seasonal,"77,846,951",616,2950.0%,0.0%,0.0%,0,Товары для взрослых/Секс игрушки/Фаллоимитаторы и страпоны/Стопа для фистинга,"no_buyout, no_profit, no_sellers",False
Переходники для тормозной системы,Переходники для тормозной системы,seasonal,"77,230,148","1,989",0.0%,100.0%,50.1%,0,Спорт/Велоспорт/Велозапчасти/Адаптеры для тормозной системы,"no_commission, no_sellers",False
Автотовары / Диски,Фрикционные диски,,"76,514,041","4,147",2650.0%,0.0%,0.0%,47,Автотовары/Запчасти/Трансмиссия/Фрикционный диск,"no_buyout, no_profit",False
Автотовары / Корпусы топливных фильтров,Корпусы сцепления,,"74,963,373","5,656",2650.0%,0.0%,71.6%,67,Автотовары/Запчасти/Трансмиссия/Корпус сцепления,no_buyout,False
Перекись водорода для бассейна,Перекись водорода для бассейна,seasonal,"73,877,858","9,163",2350.0%,0.0%,0.0%,0,Сад и дача/Бассейны/Уход за бассейном/Средство для бассейна,"no_buyout, no_profit, no_sellers",False
Направляющие для ящиков,Направляющие для ящиков,seasonal,"68,827,434",271,0.0%,100.0%,6.1%,0,Для ремонта/Крепеж/Мебельная фурнитура/Направляющая мебельная,"no_commission, no_sellers",False
Сад и дача / Пряности и зелень,Пряности,seasonal,"68,789,641",180,0.0%,100.0%,0.0%,0,"Сад и дача/Растения, семена и грунты/Семена/Пряности и зелень","no_commission, no_profit, no_sellers",False
Сад и дача / Окна для бани,Окна для бани,,"68,580,428","5,304",2850.0%,100.0%,0.0%,187,Сад и дача/Товары для бани и сауны/Окна для бани,no_profit,False
Садовые инструменты и полив,Садовые инструменты и полив,seasonal,"68,410,079",854,2950.0%,0.0%,0.0%,0,Сад и дача/Садовые инструменты/Наборы садовых инструментов,"no_buyout, no_profit, no_sellers",False
Шланги для стиральных машин,Шланги для стиральных машин,seasonal,"63,441,962",595,0.0%,94.6%,33.8%,0,Бытовая техника/Крупная бытовая техника/Аксессуары и запчасти для крупной бытовой техники/Запчасть для стиральной машины,"no_commission, no_sellers",False
Канцтовары / Скетчбуки,Скетчбуки,,"61,579,449",430,2950.0%,88.3%,0.0%,671,Канцтовары/Бумажная продукция/Ежедневники и записные книжки/Скетчбуки,no_profit,False
Цифровые наборы карточек,Цифровые наборы карточек,seasonal,"60,917,931",250,0.0%,0.0%,1.8%,0,Книги/Книги для детей/Наборы карточек,"no_commission, no_buyout, no_sellers",False
Дом / Часы электронные,Электронные сигареты,seasonal,"59,761,312",515,2350.0%,100.0%,0.0%,0,Дом/Предметы интерьера/Часы/Часы электронные,"no_profit, no_sellers",False
Дом / Софы,Софы,,"59,190,212","28,243",2150.0%,0.0%,0.0%,26,Мебель/Диваны и кресла/Диваны/Софы,"no_buyout, no_profit",False
Преобразователи крутящего момента,Преобразователи крутящего момента,,"57,716,847","3,252",2150.0%,0.0%,0.0%,19,Автотовары/Инструменты/Диагностический инструмент/Преобразователь крутящего момента,"no_buyout, no_profit",False
Держатели для резинок,Держатели для резинок,seasonal,"55,191,559","1,287",0.0%,0.0%,0.0%,0,Дом/Ванная/Держатели/Держатель для ванной,"no_commission, no_buyout, no_profit, no_sellers",False
Продукты / Ром,Ром,,"55,121,904","3,444",450.0%,0.0%,0.0%,5,Продукты/Алкоголь/Коктейли/Ром,"no_buyout, no_profit",False
Сменные кассеты для фильтров,Сменные кассеты для фильтров,seasonal,"55,077,810",590,0.0%,100.0%,33.6%,0,Дом/Хозяйственные товары/Хозяйственные товары для кухни/Кассета для фильтра-кувшина,"no_commission, no_sellers",False
Продукты / Ликер,Ликер,,"53,036,913","2,010",950.0%,0.0%,0.0%,5,Продукты/Алкоголь/Крепкие напитки/Ликер,"no_buyout, no_profit",False
Для ремонта / Поддоны для душа,Поддоны для рассады,seasonal,"51,991,840","1,040",0.0%,100.0%,43.7%,0,"Сад и дача/Горшки, кашпо и подставки для растений/Поддоны и коврики для цветов/Поддон для цветов","no_commission, no_sellers",False
Дом / Тележки уборочные,Тележки уборочные,,"51,144,173","6,393",2950.0%,50.0%,0.0%,164,Дом/Хозяйственные товары/Инвентарь для уборки/Тележки уборочные,no_profit,False
Штанги телескопические,Штанги телескопические,seasonal,"51,060,580","3,186",0.0%,92.9%,52.7%,0,Мебель/Гардеробная мебель/Штанги для одежды,"no_commission, no_sellers",False
Матрасы надувные,Матрасы надувные,seasonal,"49,127,911","2,809",0.0%,91.7%,52.1%,0,Сад и дача/Бассейны/Надувные изделия и аксессуары для плавания/Матрас для плавания,"no_commission, no_sellers",False
Продукты / Террины,Террины,seasonal,"47,391,721",569,1650.0%,0.0%,0.0%,0,Продукты/Бакалея/Консервация/Террины,"no_buyout, no_profit, no_sellers",False
Дом / Фольга пищевая,Фольга для маникюра,seasonal,"46,995,281",303,0.0%,100.0%,11.5%,0,Красота/Аксессуары/Для маникюра и педикюра/Декор для маникюра,"no_commission, no_sellers",False
Наборы для подвязки растений,Наборы для подвязки растений,seasonal,"45,279,339",371,0.0%,100.0%,19.8%,0,Сад и дача/Удобрения и уход за растениями/Опоры и подвязки для растений/Подвязка для растений,"no_commission, no_sellers",False
Дом / Камин,Порталы для каминов,,"43,364,517","1,096",2900.0%,0.0%,0.0%,49,"Дом/Предметы интерьера/Бары, фонтаны, камины/Портал для камина","no_buyout, no_profit",False
Бытовая техника / Холодильные витрины,Холодильные витрины,,"43,100,330","44,404",1950.0%,0.0%,0.0%,26,Бытовая техника/Крупная бытовая техника/Холодильники и морозильные камеры/Холодильная витрина,"no_buyout, no_profit",False
Дом / Фонарики бытовые,Фреоны бытовые,,"42,474,604","7,283",2950.0%,100.0%,0.0%,56,Бытовая техника/Крупная бытовая техника/Аксессуары и запчасти для крупной бытовой техники,no_profit,False
Продукты / Пресервы рыбные,Пресервы рыбные,seasonal,"42,430,182",138,1650.0%,0.0%,0.0%,0,Продукты/Рыба и морепродукты/Консервы рыбные,"no_buyout, no_profit, no_sellers",False
Оснастка для станков,Оснастка для станков,,"41,720,407","3,322",3150.0%,0.0%,0.0%,9,Для ремонта/Инструменты и оснастка,"no_buyout, no_profit",False
Электрические перцемолки,Электрические перцемолки,seasonal,"41,678,867",880,0.0%,100.0%,41.3%,0,Для ремонта/Крепеж/Такелаж/Тали электрические,"no_commission, no_sellers",False
Автотовары / Съемники,Съемники обшивки,seasonal,"38,497,570",611,0.0%,93.9%,34.4%,0,Автотовары/Инструменты/Съемники/Съемник автомобильный,"no_commission, no_sellers",False
Автотовары / Съемники,Съемники шарниров,seasonal,"38,497,570",536,0.0%,93.4%,31.2%,0,Автотовары/Инструменты/Съемники/Съемник автомобильный,"no_commission, no_sellers",False
Для ремонта / Патроны для ламп,Патроны токарные,,"37,590,004","1,878",3150.0%,100.0%,0.0%,109,Для ремонта/Инструменты и оснастка/Расходные материалы и оснастка/Патрон токарный,no_profit,False
Транспортные средства / Скутеры,Скутеры,,"37,226,586","125,640",50.0%,0.0%,6.9%,24,Транспортные средства/Мототехника/Скутеры,no_buyout,False
Продукты / Джин,Джин,,"36,983,039","2,606",950.0%,0.0%,0.0%,5,Продукты/Алкоголь/Коктейли/Джин,"no_buyout, no_profit",False
Детям / Таблички детские,Таблички садовые,seasonal,"36,450,165",202,0.0%,96.4%,0.0%,0,Сад и дача/Садовый декор/Садовые декоративные фигуры и таблички/Адресная табличка,"no_commission, no_profit, no_sellers",False
Сад и дача / Пестицид,Пестициды,,"33,839,121",469,2950.0%,96.8%,0.0%,51,Сад и дача/Удобрения и уход за растениями/Агрохимикаты и пестициды/Пестицид,no_profit,False
Уплотнители для душевых кабин,Уплотнители для душевых кабин,seasonal,"32,983,896",834,0.0%,100.0%,40.4%,0,Для ремонта/Сантехника/Комплектующие для душевых кабин,"no_commission, no_sellers",False
Вариаторы для мототехники,Вариаторы для мототехники,,"32,883,090",927,2650.0%,75.0%,0.0%,125,Автотовары/Мототовары/Запчасти для двигателя/Вариатор для мототехники,no_profit,False
Автотовары / Дорожные туалеты,Дорожные знаки,,"31,905,176","1,236",2650.0%,88.9%,0.0%,201,Автотовары/Другие аксессуары и доп. оборудование/Другие автоаксессуары/Автосервис/Дорожный знак,no_profit,False
Транспортные средства / Мопеды,Мопеды,,"31,583,937","92,990",50.0%,0.0%,6.8%,14,Транспортные средства/Мототехника/Мопеды,no_buyout,False
Комплектующие топливоподкачивающих насосов,Комплектующие топливоподкачивающих насосов,,"30,605,928",851,2650.0%,0.0%,0.0%,100,Автотовары/Запчасти/Топливная система/Насосы топливные и комплектующие,"no_buyout, no_profit",False
Автотовары / Фиксаторы пружины,Фиксаторы дверные,seasonal,"30,277,987",599,0.0%,100.0%,34.0%,0,"Для ремонта/Двери, окна и фурнитура/Двери и фурнитура/Доводчик дверной","no_commission, no_sellers",False
Дом / Фитинги,Фитинги для насосов,seasonal,"29,790,011","1,046",0.0%,100.0%,43.8%,0,Сад и дача/Насосное оборудование/Шланг всасывающий для насоса,"no_commission, no_sellers",False
Спорт / Угольные грили,Угольные грили,,"29,201,784","4,607",2850.0%,40.0%,0.0%,182,"Сад и дача/Грили, мангалы и барбекю/Грили угольные",no_profit,False
Продукты / Бренди,Бренди,,"29,102,447","1,989",450.0%,0.0%,0.0%,5,Продукты/Алкоголь/Крепкие напитки/Бренди,"no_buyout, no_profit",False
Спорт / Топоры,Топоры сувенирные,seasonal,"28,143,589","4,320",0.0%,0.0%,53.8%,0,Аксессуары/Ювелирные изделия/Ювелирный сувенир,"no_commission, no_buyout, no_sellers",False
Спорт / Стойки баскетбольные,Стойки баскетбольные,,"27,962,159","1,200",2750.0%,100.0%,0.0%,131,Спорт/Командные виды спорта/Баскетбол/Аксессуары и инвентарь/Стойки баскетбольные,no_profit,False
Транспортные средства / Квадроциклы,Квадроциклы,,"27,868,977","196,600",50.0%,0.0%,6.9%,19,Транспортные средства/Мототехника/Квадроциклы,no_buyout,False
Системы персонального мониторинга,Системы персонального мониторинга,,"26,238,002","2,456",2850.0%,0.0%,0.0%,48,Дом/Досуг и творчество/Профессиональные музыкальные инструменты/Системы персонального мониторинга,"no_buyout, no_profit",False
Дом / Поручни и ручки,Поручни,seasonal,"26,220,440","1,462",0.0%,100.0%,47.6%,0,Дом/Ванная/Поручни и ручки/Поручни для ванной комнаты,"no_commission, no_sellers",False
Для ремонта / Индикаторы и дисплеи,Индикаторы и дисплеи,,"26,054,660","1,848",2850.0%,0.0%,0.0%,32,Для ремонта/Микроэлектроника/Оптоэлектроника/Индикаторы и дисплеи,"no_buyout, no_profit",False
Сад и дача / Коврики для гаража,Коврики для гаража,,"25,775,440","1,024",2650.0%,0.0%,0.0%,34,Автотовары/Другие аксессуары и доп. оборудование/Другие автоаксессуары/Автосервис/Коврик для гаража,"no_buyout, no_profit",False
Продукты / Шампанское,Шампанское,,"25,109,187","9,875",450.0%,0.0%,0.0%,4,Продукты/Алкоголь/Игристые вина и шампанское/Шампанское,"no_buyout, no_profit",False
Настойки,Настойки,,"25,069,062",399,450.0%,0.0%,0.0%,4,Продукты/Алкоголь/Коктейли/Настойка,"no_buyout, no_profit",False
Сад и дача / Арки садовые,Садовые ограждения,seasonal,"24,794,260",788,0.0%,94.7%,39.5%,0,Для ремонта/Стройматериалы/Заборы и ограждения,"no_commission, no_sellers",False
Для ремонта / Анкеры,Анкеры химические,,"24,227,665","1,923",3250.0%,87.5%,0.0%,103,Для ремонта/Крепеж/Анкеры,no_profit,False
Продукты / Текила,Текила,,"23,943,043","4,540",950.0%,0.0%,0.0%,5,Продукты/Алкоголь/Крепкие напитки/Текила,"no_buyout, no_profit",False
Вспомогательные передачи,Вспомогательные передачи,,"23,628,107","1,271",2150.0%,0.0%,0.0%,14,Автотовары/Запчасти/Трансмиссия/Вспомогательная передача,"no_buyout, no_profit",False
Спорт / Лыжероллеры,Лыжероллеры,,"23,282,041","8,889",2750.0%,83.3%,0.0%,36,Спорт/Зимние виды спорта/Беговые лыжи/Лыжероллеры и комплектующие/Лыжероллеры,no_profit,False
Приборы для калибровки,Приборы для калибровки,,"22,708,166","1,497",2350.0%,0.0%,0.0%,96,Для ремонта/Микроэлектроника/Измерительные инструменты/Прибор для калибровки,"no_buyout, no_profit",False
Витаминно-минеральные препараты,Витаминно-минеральные препараты,,"21,259,855",565,300.0%,0.0%,0.0%,2,Лекарственные препараты,"no_buyout, no_profit",False
Акции / Коннекторы и штуцеры садовые,Штуцеры,seasonal,"21,096,497","1,163",0.0%,91.7%,45.1%,0,Сад и дача/Полив/Коннекторы и штуцеры садовые,"no_commission, no_sellers",False
Автотовары / Чехлы,Чехлы одноразовые,seasonal,"20,196,837",669,0.0%,0.0%,36.4%,0,Автотовары/Шины и диски колесные/Чехлы,"no_commission, no_buyout, no_sellers",False
Продукты / Сидр,Сидр,,"19,925,640",264,450.0%,0.0%,0.0%,3,Продукты/Алкоголь/Сидр,"no_buyout, no_profit",False
Для ремонта / Разъем,Разъемы,,"19,837,942",572,2350.0%,0.0%,0.0%,167,"Для ремонта/Микроэлектроника/Кнопки, переключатели, разъемы, реле/Разъем","no_buyout, no_profit",False
Электроника / Цифровые ручки,Цифровые мультимедиа,seasonal,"19,572,117",120,0.0%,0.0%,0.0%,0,Книги/Мультимедиа,"no_commission, no_buyout, no_profit, no_sellers",False
Женщинам / Платья,Платья рабочие,,"19,399,344","2,242",3450.0%,0.0%,0.0%,24,Женщинам/Спецодежда и СИЗы/Униформа и рабочая одежда/Платье рабочее,"no_buyout, no_profit",False
Акции / Маркер для кабеля,Протяжки для кабеля,,"19,277,391",850,2850.0%,25.0%,0.0%,147,Для ремонта/Электрика/Электромонтаж и проводка/Протяжка для кабеля,no_profit,False
Для ремонта / Металлочерепица,Металлочерепица,,"19,096,209","1,437",2050.0%,0.0%,0.0%,9,Для ремонта/Стройматериалы/Кровля и водосток/Металлочерепица,"no_buyout, no_profit",False
Автотовары / Фильтры,Фильтры сажевые,,"18,920,687",988,2150.0%,0.0%,0.0%,43,Автотовары/Запчасти/Система выпуска/Фильтр сажевый,"no_buyout, no_profit",False
Продукты / Мясо охлажденное,Мясо охлажденное,,"18,170,147",825,1650.0%,0.0%,0.0%,5,Продукты/Мясная продукция/Мясо охлажденное,"no_buyout, no_profit",False
Модули управления центральным замком,Модули управления центральным замком,seasonal,"18,154,942",855,0.0%,100.0%,40.9%,0,Автотовары/Другие аксессуары и доп. оборудование/Электроника/Электрика и управление/Центральный замок,"no_commission, no_sellers",False
Платы для светильников,Платы для светильников,seasonal,"17,517,065","7,983",0.0%,100.0%,55.3%,0,Дом/Освещение/Комплектующие для светильников,"no_commission, no_sellers",False
Провода масляного радиатора,Провода масляного радиатора,,"17,445,219","1,990",2150.0%,0.0%,0.0%,10,Автотовары/Другие аксессуары и доп. оборудование/Электроника/Провода и кабели/Провод масляного радиатора,"no_buyout, no_profit",False
Акции / Резчик швов,Резчики швов,,"16,922,313","1,317",3100.0%,0.0%,0.0%,59,Акции/Дачные скидки/Для ремонта/Инструменты и оснастка/Пильно-отрезные инструменты/Резчик швов,"no_buyout, no_profit",False
ЦК Программное обеспечение,ЦК Программное обеспечение,seasonal,"16,505,012","8,768",1950.0%,0.0%,0.0%,0,"Электроника/Ноутбуки, компьютеры и периферия/Аксессуары для ноутбуков/Программное обеспечение","no_buyout, no_profit, no_sellers",False
Акустика для микроэлектроники,Акустика для микроэлектроники,,"15,941,132","1,224",2350.0%,0.0%,0.0%,14,Для ремонта/Микроэлектроника/Электронные компоненты/Акустика для микроэлектроники,"no_buyout, no_profit",False
Электроника / Умные очки,Умные очки,,"15,233,842",679,2950.0%,0.0%,0.0%,122,Аксессуары/Очки и футляры/Аксессуары для очков/Умные очки,"no_buyout, no_profit",False
Красота / Лаки,Лаки аэрозольные,seasonal,"15,232,519","9,638",0.0%,100.0%,55.6%,0,Автотовары/Краски и грунтовки/Лаки автомобильные,"no_commission, no_sellers",False
Пиротехника,Пиротехника,,"15,166,295","2,310",3250.0%,100.0%,0.0%,40,Дом/Все для праздника/Фейерверки и салюты,no_profit,False
Системы подвески кабины,Системы подвески кабины,,"14,317,352","3,156",2650.0%,100.0%,0.0%,68,Автотовары/Запчасти/Кузов/Система подвески кабины,no_profit,False
Топливозаправочные системы,Топливозаправочные системы,,"13,915,165","1,206",2650.0%,0.0%,0.0%,144,Автотовары/Запчасти/Топливная система,"no_buyout, no_profit",False
Красота / Маникюрные наборы,Шаберы маникюрные,seasonal,"13,755,106",224,0.0%,100.0%,0.0%,0,Красота/Аксессуары/Для маникюра и педикюра/Инструмент для маникюра и педикюра,"no_commission, no_profit, no_sellers",False
Красота / Маникюрные наборы,Пушеры маникюрные,seasonal,"13,755,106",280,0.0%,50.0%,7.8%,0,Красота/Аксессуары/Для маникюра и педикюра/Инструмент для маникюра и педикюра,"no_commission, no_sellers",False
Спорт / Баллончики для пневматики,Перцовые баллончики,seasonal,"13,697,627",885,2250.0%,65.2%,0.0%,0,Спорт/Товары для самообороны/Газовый баллончик учебный,"no_profit, no_sellers",False
Конвекторы внутрипольные,Конвекторы внутрипольные,,"13,508,239","24,630",2750.0%,94.7%,0.0%,19,Бытовая техника/Климатическая техника/Обогреватели и тепловентиляторы/Конвектор,no_profit,False
Акции / Лед сухой,Лед сухой,seasonal,"13,379,095",315,2150.0%,0.0%,0.0%,0,Для ремонта/Стройматериалы/Строительные смеси/Противогололедный реагент,"no_buyout, no_profit, no_sellers",False
Электроника / Кошельки аппаратные,Кошельки аппаратные,,"13,345,823","1,664",2750.0%,0.0%,0.0%,58,Электроника/Развлечения и гаджеты/Кошельки аппаратные,"no_buyout, no_profit",False
