display,name,niche_status,revenue,avg_price,commission,buyout_pct,profit_pct,sellers_with_sales,mpstats_path,issues,is_critical
Шашки казачьи,Шашки казачьи,dead,0,"4,362",0.0%,100.0%,53.8%,0,,"no_commission, no_sellers",False
Сантехника,Сантехника,dead,0,398,2750.0%,0.0%,0.0%,0,Для ремонта/Сантехника,"no_buyout, no_profit, no_sellers",False
Канцтовары / Ножи канцелярские,Канцелярские товары,seasonal,0,"1,646",2950.0%,100.0%,0.0%,0,Канцтовары/Офисные принадлежности/Нож канцелярский,"no_profit, no_sellers",False
Дом / Крючки,Крючки для штор,seasonal,0,295,0.0%,0.0%,10.2%,0,Дом/Шторы/Аксессуары/Аксессуары для штор,"no_commission, no_buyout, no_sellers",False
Самса,Самса,dead,0,155,1650.0%,0.0%,0.0%,0,,"no_buyout, no_profit, no_sellers",False
Холодец,Холодец,dead,0,155,1650.0%,0.0%,0.0%,0,,"no_buyout, no_profit, no_sellers",False
Аксессуары / Бант,Бантики для животных,seasonal,0,299,0.0%,100.0%,10.8%,0,Аксессуары/Ремни и пояса/Аксессуары для животных,"no_commission, no_sellers",False
Жидкие средства для стирки,Жидкие средства для стирки,seasonal,0,550,0.0%,100.0%,31.9%,0,Дом/Бытовая химия/Средства для стирки/Гель для стирки,"no_commission, no_sellers",False
Кутабы,Кутабы,dead,0,0,1650.0%,0.0%,0.0%,0,,"no_buyout, no_profit, no_sellers",False
Бандажи лучезапястные,Бандажи лучезапястные,seasonal,0,405,0.0%,100.0%,22.9%,0,Здоровье/Ортопедия/Бандажи и ортезы,"no_commission, no_sellers",False
Дом / Пьезозажигалки,Зажигалки бензиновые,dead,0,352,0.0%,0.0%,17.8%,0,Дом/Кухня/Кухонная утварь/Пьезозажигалки,"no_commission, no_buyout, no_sellers",False
Продукты / Сыр,Сырные шарики,seasonal,0,242,1650.0%,100.0%,0.0%,0,Продукты/Здоровое питание/Сыр,"no_profit, no_sellers",False
Мототовары,Мототовары,seasonal,0,"27,300",2650.0%,0.0%,0.0%,0,Автотовары/Мототовары,"no_buyout, no_profit, no_sellers",False
Женщинам / Бандажи,Бандажи шейные,seasonal,0,457,0.0%,96.2%,26.8%,0,Здоровье/Ортопедия/Бандажи и ортезы,"no_commission, no_sellers",False
Женщинам / Бандажи,Бандажи плечевые,seasonal,0,992,0.0%,100.0%,43.1%,0,Здоровье/Ортопедия/Бандажи и ортезы,"no_commission, no_sellers",False
Вентканалы,Вентканалы,dead,0,486,0.0%,80.6%,28.6%,0,,"no_commission, no_sellers",False
Продукты / Икра улитки,Икра улитки,seasonal,0,"1,760",1650.0%,0.0%,0.0%,0,Продукты/Бакалея/Консервация/Икра улитки,"no_buyout, no_profit, no_sellers",False
Навесное оборудование для культиваторов,Навесное оборудование для культиваторов,seasonal,0,"8,436",1650.0%,0.0%,0.0%,0,"Сад и дача/Садовая техника/Культиваторы, мотоблоки, мотобуры/Навесное оборудование для садовой техники","no_buyout, no_profit, no_sellers",False
Зоотовары / Мицеллярная вода для животных,Мицеллярная вода,seasonal,0,554,0.0%,100.0%,32.1%,0,Зоотовары/Груминг и уход/Мицеллярная вода для животных,"no_commission, no_sellers",False
Брюки пижамные,Брюки пижамные,seasonal,0,575,0.0%,50.0%,33.0%,0,Детям/Для мальчиков/Одежда для дома/Пижамы,"no_commission, no_sellers",False
Сад и дача / Бак для бани,Настои для бани,seasonal,0,"9,932",0.0%,100.0%,55.6%,0,Мужчинам/Подарки мужчинам/Для дома/Набор аксессуаров для бани,"no_commission, no_sellers",False
Автотовары / Датчики фаз,Датчики утечки газа,seasonal,0,250,1250.0%,100.0%,0.0%,0,Автотовары/Запчасти/Электрооборудование/Датчики автомобильные,"no_profit, no_sellers",False
Опунция,Опунция,dead,0,"2,015",1650.0%,0.0%,0.0%,0,,"no_buyout, no_profit, no_sellers",False
