display,name,revenue_mln,avg_price,commission_pct,buyout_pct,parent_category,full_path,issues,niche_status,fix_action
Продукты / Готовые салаты,Готовые салаты,0.0,0.0,21.5,1.0,Продукты,Продукты/Готовая еда/Салаты/Готовый салат,no_price,,MPStats refresh
Продукты / Сорбет,Сорбет,0.0,0.0,16.5,0.0,Продукты,"Продукты/Сладости и хлебобулочные изделия/Желе, крем-десерты, пудинги/Сорбет",no_price,,MPStats refresh
Продукты / Чиабатта,Чиабатта,0.0,0.0,16.5,0.0,Продукты,Продукты/Готовая еда/Остальное/Чиабатта,no_price,,MPStats refresh
Шницели,Шницели,0.0,414.5,16.5,0.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Слиперы,Слиперы,0.0,2556.0,0.0,1.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Монокини,Монокини,0.0,2873.0,0.0,0.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Бекон,Бекон,0.0,187.0,16.5,0.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Женщинам / Бандажи,Бандажи голени,0.0,5198.0,0.0,1.0,Здоровье,Здоровье/Ортопедия/Бандажи и ортезы,zero_revenue,dead,DEAD — скрыть из поиска
Сад и дача / Теплица,Форточки для теплиц,0.0,882.0,0.0,1.0,Сад и дача,"Сад и дача/Теплицы, парники, укрывной материал/Теплицы и аксессуары/Комплектующие для теплиц",zero_revenue,,Мёртвая ниша
Шашки казачьи,Шашки казачьи,0.0,4361.5,0.0,1.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Автотовары / Трос для мототехники,Страхование техники,0.0,1387.0,23.5,0.0,Автотовары,Автотовары/Мототовары/Другие детали/Другие запчасти для мототехники,zero_revenue,,Мёртвая ниша
Для ремонта / Бур,Буркини,0.0,3900.0,0.0,0.0,Для ремонта,Для ремонта/Инструменты и оснастка/Расходные материалы и оснастка/Бур,zero_revenue,dead,DEAD — скрыть из поиска
Кордон блю,Кордон блю,0.0,813.0,16.5,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Рийет,Рийет,0.0,120.0,16.5,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Шторы и аксессуары,Шторы и аксессуары,0.0,4141.0,29.5,0.0,Дом,Дом/Шторы/Аксессуары/Аксессуары для штор,zero_revenue,,Мёртвая ниша
Зельц,Зельц,0.0,717.0,16.5,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Дом / Репелленты,Репелленты,0.0,294.0,0.0,1.0,Дом,Дом/Отдых на природе/Репелленты,zero_revenue,,Мёртвая ниша
Вентканалы,Вентканалы,0.0,486.0,0.0,0.8056,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Электроника / Цифровые ручки,Цифровые мультимедиа,0.0,120.0,0.0,0.0,Книги,Книги/Мультимедиа,zero_revenue,,Мёртвая ниша
Кукурузолущилки,Кукурузолущилки,0.0,2120.0,0.0,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Гидроциклы,Гидроциклы,0.0,2852500.0,0.5,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
ОСП (ориентированно-стружечные плиты),ОСП (ориентированно-стружечные плиты),0.0,355.0,0.0,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Шпик,Шпик,0.0,735.5,16.5,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Наконечники для карниза,Наконечники для карниза,0.0,288.0,0.0,0.75,Дом,Дом/Шторы/Карнизы/Комплектующие для карнизов,zero_revenue,dead,DEAD — скрыть из поиска
Продукты / Террины,Террины,0.0,569.0,16.5,0.0,Продукты,Продукты/Бакалея/Консервация/Террины,zero_revenue,,Мёртвая ниша
Кушоны,Кушоны,0.0,600.0,0.0,1.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Шаурма,Шаурма,0.0,0.0,16.5,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue, no_price",,Мёртвая ниша
Шланги для стиральных машин,Шланги для стиральных машин,0.0,595.0,0.0,0.9457,Бытовая техника,Бытовая техника/Крупная бытовая техника/Аксессуары и запчасти для крупной бытовой техники/Запчасть для стиральной машины,zero_revenue,,Мёртвая ниша
ЦК Программное обеспечение,ЦК Программное обеспечение,0.0,8768.0,19.5,0.0,Электроника,"Электроника/Ноутбуки, компьютеры и периферия/Аксессуары для ноутбуков/Программное обеспечение",zero_revenue,,Мёртвая ниша
Красота / Бальзамы,Сиропы-бальзамы,0.0,372.0,0.0,1.0,Продукты,Продукты/Здоровое питание/Сироп,zero_revenue,,Мёртвая ниша
Акции / Коннекторы и штуцеры садовые,Штуцеры,0.0,1163.0,0.0,0.9167000000000001,Сад и дача,Сад и дача/Полив/Коннекторы и штуцеры садовые,zero_revenue,,Мёртвая ниша
Женщинам / Шубы натуральные,Шубы чебурашки,0.0,5276.0,0.0,0.0,Женщинам,Женщинам/Большие размеры/Верхняя одежда/Шубы искусственные,zero_revenue,,Мёртвая ниша
Запеканки,Запеканки,0.0,0.0,16.5,1.0,БЕЗ ПУТИ,,"no_path, zero_revenue, no_price",,Мёртвая ниша
Багги,Багги,0.0,368242.0,0.5,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Продукты / Хачапури,Хачапури,0.0,0.0,16.5,0.0,Продукты,Продукты/Готовая еда/Хачапури,"zero_revenue, no_price",,Мёртвая ниша
Серьги ювелирная бижутерия,Серьги ювелирная бижутерия,0.0,1000.0,0.0,1.0,Аксессуары,Аксессуары/Бижутерия/Серьги,zero_revenue,,Мёртвая ниша
Удобрения для комнатных растений,Удобрения для комнатных растений,0.0,360.0,0.0,1.0,Сад и дача,Сад и дача/Удобрения и уход за растениями/Удобрения/Удобрение для растений,zero_revenue,,Мёртвая ниша
Электроника / Цифровые ручки,Цифровые книги,0.0,211.0,0.0,0.0,Книги,Книги,zero_revenue,,Мёртвая ниша
Детям / Таблички детские,Таблички садовые,0.0,202.5,0.0,0.9639,Сад и дача,Сад и дача/Садовый декор/Садовые декоративные фигуры и таблички/Адресная табличка,zero_revenue,,Мёртвая ниша
Сменные кассеты для фильтров,Сменные кассеты для фильтров,0.0,590.0,0.0,1.0,Дом,Дом/Хозяйственные товары/Хозяйственные товары для кухни/Кассета для фильтра-кувшина,zero_revenue,,Мёртвая ниша
Шарниры для ригелей,Шарниры для ригелей,0.0,206.0,0.0,1.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Игрушки / Фигурки,Фигурки кованые,0.0,1205.0,0.0,1.0,Дом,Дом/Предметы интерьера/Фигурки и статуэтки,zero_revenue,,Мёртвая ниша
Электрические перцемолки,Электрические перцемолки,0.0,880.0,0.0,1.0,Для ремонта,Для ремонта/Крепеж/Такелаж/Тали электрические,zero_revenue,,Мёртвая ниша
Электроника / Цифровые ручки,Цифровые видеокурсы,0.0,370.0,0.0,0.0,Электроника,"Электроника/Ноутбуки, компьютеры и периферия/Аксессуары для ноутбуков/Цифровые ручки",zero_revenue,,Мёртвая ниша
Электроника / Соединители цепей,Соединители карнизов,0.0,478.0,0.0,1.0,Дом,Дом/Шторы/Карнизы/Комплектующие для карнизов,zero_revenue,,Мёртвая ниша
Пульты для светильников,Пульты для светильников,0.0,729.5,0.0,1.0,Дом,Дом/Освещение/Комплектующие для светильников,zero_revenue,,Мёртвая ниша
Электроника / Цифровые ручки,Цифровые коды,0.0,27500.0,0.0,0.0,Электроника,"Электроника/Ноутбуки, компьютеры и периферия/Аксессуары для ноутбуков/Цифровые ручки",zero_revenue,,Мёртвая ниша
Женщинам / Свечи,Фитосвечи,0.0,312.0,0.0,0.9127,Женщинам,Женщинам/Подарки женщинам/Для дома/Свечи,zero_revenue,,Мёртвая ниша
Игрушки / Вертушки детские,Тушки кальмаров,0.0,519.0,16.5,0.0,Продукты,Продукты/Рыба и морепродукты/Тушка кальмара,zero_revenue,,Мёртвая ниша
Средства от педикулеза,Средства от педикулеза,0.0,723.0,0.0,0.0,Адаптивные товары,Адаптивные товары/Средства реабилитации,zero_revenue,,Мёртвая ниша
Женщинам / Ювелирные украшения,Ювелирные украшения,0.0,4559.0,33.0,0.0,Женщинам,Женщинам/Подарки женщинам/Ювелирные украшения,zero_revenue,,Мёртвая ниша
Ребрышки,Ребрышки,0.0,0.0,16.5,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue, no_price",,Мёртвая ниша
Золотые слитки,Золотые слитки,0.0,27.0,29.5,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Продукты / Колбаски,Баски,0.0,1350.0,0.0,0.8,Продукты,Продукты/Готовая еда/Закуски/Колбаски,zero_revenue,seasonal,Сезонная — данные ограничены
Консерванты,Консерванты,0.0,796.0,0.0,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Мужчинам / Топы,Стопы для фистинга,0.0,616.0,29.5,0.0,Товары для взрослых,Товары для взрослых/Секс игрушки/Фаллоимитаторы и страпоны/Стопа для фистинга,zero_revenue,,Мёртвая ниша
Стейки,Стейки,0.0,429.5,16.5,0.9541,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Штанги телескопические,Штанги телескопические,0.0,3186.5,0.0,0.9286,Мебель,Мебель/Гардеробная мебель/Штанги для одежды,zero_revenue,,Мёртвая ниша
Кюлоты,Кюлоты,0.0,1898.0,0.0,1.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Клещи токоизмерительные,Клещи токоизмерительные,0.0,1063.0,0.0,1.0,Для ремонта,Для ремонта/Инструменты и оснастка/Монтажные инструменты/Клещи строительные,zero_revenue,seasonal,Сезонная — данные ограничены
Канцтовары / Клей,Клей обойный,0.0,10219.5,0.0,1.0,Для ремонта,Для ремонта/Лакокрасочные материалы/Покрытия для дерева/Клей строительный,zero_revenue,seasonal,Сезонная — данные ограничены
Канцтовары / Клей,Клей монтажный,0.0,575.0,0.0,1.0,Для ремонта,Для ремонта/Лакокрасочные материалы/Покрытия для дерева/Клей строительный,zero_revenue,seasonal,Сезонная — данные ограничены
Ролики для раздвижных дверей,Ролики для раздвижных дверей,0.0,6744.0,0.0,1.0,Для ремонта,"Для ремонта/Двери, окна и фурнитура/Двери и фурнитура/Раздвижная система",zero_revenue,,Мёртвая ниша
Цифровые наборы карточек,Цифровые наборы карточек,0.0,250.0,0.0,0.0,Книги,Книги/Книги для детей/Наборы карточек,zero_revenue,,Мёртвая ниша
Женщинам / Топ,Топсайдеры,0.0,2657.5,0.0,0.5455,Обувь,Обувь/Мужская/Мокасины и топсайдеры,zero_revenue,,Мёртвая ниша
Автотовары / Фиксаторы пружины,Фиксаторы дверные,0.0,599.0,0.0,1.0,Для ремонта,"Для ремонта/Двери, окна и фурнитура/Двери и фурнитура/Доводчик дверной",zero_revenue,,Мёртвая ниша
Электроника / Цифровые ручки,Цифровые аудиокниги,0.0,399.0,0.0,1.0,Книги,Книги/Аудиокниги,zero_revenue,,Мёртвая ниша
Автотовары / Система смазки,Смазки для сверления,0.0,570.0,0.0,0.0,Для ремонта,"Для ремонта/Инструменты и оснастка/Сверление, долбление, закручивание/Смазка для откручивания",zero_revenue,,Мёртвая ниша
Сад и дача / Шланги садовые,Шланги для пылесосов,0.0,2456.0,0.0,0.8462000000000001,Бытовая техника,Бытовая техника/Техника для дома/Аксессуары для пылесосов/Запчасть для пылесоса,zero_revenue,,Мёртвая ниша
Автотовары / Чехлы,Чехлы одноразовые,0.0,669.0,0.0,0.0,Автотовары,Автотовары/Шины и диски колесные/Чехлы,zero_revenue,,Мёртвая ниша
Красота / Шампуни,Шампуни для бани,0.0,168.0,0.0,1.0,Красота,Красота/Аптечная косметика/Крем для бани,zero_revenue,,Мёртвая ниша
Сникеры,Сникеры,0.0,2470.0,0.0,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Биттер,Биттер,0.0,0.0,4.5,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue, no_price",,Мёртвая ниша
Канцтовары / Клей,Клей эпоксидный,0.0,330.5,0.0,1.0,Для ремонта,Для ремонта/Лакокрасочные материалы/Покрытия для дерева/Клей строительный,zero_revenue,seasonal,Сезонная — данные ограничены
