display,name,revenue,avg_price,commission,buyout_pct,profit_pct,sellers_with_sales
Обувь / Кроссовки,Кроссовки,"128,457,195,363","5,250",3450.0%,37.6%,61.7%,9672
Платья,Платья,"58,288,206,789","1,894",3450.0%,26.1%,50.6%,32038
Футболки,Футболки,"46,416,871,016","1,352",3450.0%,53.3%,53.9%,14327
Костюмы,Костюмы,"42,050,547,127","2,267",3450.0%,43.1%,57.4%,18320
Брюки,Брюки,"30,519,268,612","1,620",3450.0%,34.7%,52.0%,16635
Товары для взрослых / Секс куклы,Секс куклы,"24,489,171,748","5,494",2950.0%,66.7%,68.0%,211
Джинсы,Джинсы,"22,198,859,474","2,058",3450.0%,25.4%,50.6%,9835
Шорты,Шорты,"19,549,415,642","1,048",3450.0%,37.4%,48.9%,9303
Автотовары / Шины автомобильные,Шины автомобильные,"18,116,907,571","9,924",1800.0%,79.8%,81.1%,258
Обувь / Босоножки,Босоножки,"17,774,394,342","2,432",3450.0%,31.1%,54.5%,3632
Электроника / Смартфоны,Смартфоны,"16,074,541,010","11,441",1650.0%,88.0%,82.9%,2738
Для ремонта / Смесители,Смесители,"15,825,174,637","4,114",2750.0%,80.6%,70.2%,2298
Дом / Шкафы-купе,Шкафы-купе,"15,180,513,054","36,540",2650.0%,91.4%,73.2%,103
Обувь / Туфли,Туфли,"15,067,702,380","2,717",3450.0%,25.8%,54.9%,6596
Рубашки,Рубашки,"14,712,062,316","1,503",3450.0%,36.3%,51.6%,10405
Автотовары / Чехлы на сиденья,Чехлы на сиденья,"14,711,355,944","5,599",2650.0%,73.4%,71.9%,1373
Инсталляции для унитаза,Инсталляции для унитаза,"13,769,504,576","21,178",2750.0%,79.6%,72.1%,288
Бытовая техника / Триммеры садовые,Триммеры садовые,"13,453,475,553","5,778",1950.0%,84.7%,78.4%,1740
Юбки,Юбки,"12,966,460,885","1,328",3450.0%,28.4%,45.5%,12730
Обувь / Сандалии,Сандалии,"12,928,159,755","1,905",3450.0%,30.6%,51.7%,3596
Дом / Тумбы для ванной,Тумбы для ванной,"11,410,879,539","22,074",2750.0%,85.3%,72.1%,252
Книги,Книги,"11,142,923,168",978,2950.0%,90.5%,62.0%,7811
Амортизаторы автомобильные,Амортизаторы автомобильные,"10,567,991,800","3,986",2650.0%,81.3%,71.2%,1084
Женщинам / Сумки,Сумки,"10,149,082,952","1,634",3450.0%,57.2%,57.0%,18179
Женщинам / Блузки,Блузки,"10,005,826,528","1,416",3450.0%,32.1%,48.5%,8483
Зоотовары / Корм сухой,Корм сухой,"9,899,413,814","1,990",2150.0%,92.9%,74.4%,1347
Женщинам / Костюмы купальные,Костюмы купальные,"9,884,506,068","1,618",3450.0%,25.2%,47.4%,4159
Дом / Кружки,Кружки,"9,810,401,826",676,2950.0%,83.1%,56.5%,4592
Электроника / Чехлы,Чехлы для телефонов,"9,740,160,102",403,2950.0%,77.2%,46.4%,5840
Женщинам / Топы,Топы,"9,549,426,560",870,3450.0%,37.6%,42.8%,8680
Мужчинам / Костюмы спортивные,Костюмы спортивные,"9,300,019,122","2,040",3450.0%,42.1%,57.1%,7289
Обувь / Лоферы,Лоферы,"9,223,910,399","4,333",3450.0%,24.1%,59.5%,2696
Куртки,Куртки,"8,848,807,181","3,672",3450.0%,30.2%,57.6%,11787
Колодки автомобильные,Колодки автомобильные,"8,751,067,747","2,225",2650.0%,82.5%,69.5%,1291
Магнитолы автомобильные,Магнитолы автомобильные,"8,112,939,474","11,614",2650.0%,82.0%,72.7%,972
Электроника / Ноутбуки,Ноутбуки,"8,093,465,570","46,251",1450.0%,87.7%,85.3%,1328
Обувь / Кеды,Кеды,"7,594,068,082","3,588",3450.0%,32.4%,58.3%,3620
Тормозные диски автомобильные,Тормозные диски автомобильные,"7,320,038,664","5,645",2650.0%,77.8%,71.8%,688
Сад и дача / Шкафы распашные,Шкафы распашные,"7,231,515,960","23,674",2650.0%,70.0%,25.5%,220
Автотовары / Тенты автомобильные,Тенты автомобильные,"7,021,963,728","3,962",2650.0%,82.6%,71.2%,838
Автотовары / Рычаги подвески,Рычаги подвески,"6,948,260,197","4,650",2650.0%,83.3%,71.6%,745
Женщинам / Бюстгальтеры,Бюстгальтеры,"6,747,008,547",990,3450.0%,47.7%,50.7%,2295
Дом / Краны шаровые,Краны шаровые,"6,436,677,162","1,210",2750.0%,89.2%,64.8%,1094
Женщинам / Пиджаки,Пиджаки,"6,026,106,709","2,892",3450.0%,23.6%,54.4%,5141
Обувь / Сабо,Сабо,"5,643,084,530","1,753",3450.0%,40.4%,54.4%,2199
Для ремонта / Ограждения душевые,Ограждения душевые,"5,525,944,328","35,444",2750.0%,50.0%,72.3%,90
Женщинам / Очки сварочные,Сварочные аппараты,"5,256,655,419","4,592",2850.0%,81.9%,70.2%,920
Бытовая техника / Холодильники,Холодильники,"5,169,016,068","39,645",1950.0%,100.0%,80.2%,280
Футболки-поло,Футболки-поло,"5,098,295,150","1,562",3450.0%,38.9%,52.1%,2892
Спорт / Ботинки,Ботинки,"5,016,118,344","3,532",3450.0%,42.7%,58.9%,6471
Электроника / Телевизоры,Телевизоры,"4,959,612,229","22,636",2150.0%,76.8%,78.1%,356
Мужчинам / Ювелирные кольца,Ювелирные кольца,"4,876,687,097","4,216",3300.0%,51.2%,63.7%,881
Женщинам / Трусы,Трусы,"4,814,516,835",641,3450.0%,75.3%,49.0%,5153
Дом / Светильники,Светильники,"4,616,609,962","2,174",2950.0%,83.7%,66.3%,5449
Системы и гарнитуры душевые,Системы и гарнитуры душевые,"4,555,066,689","15,216",2750.0%,74.7%,71.8%,848
Радиаторы автомобильные,Радиаторы автомобильные,"4,544,616,864","7,788",2650.0%,76.0%,72.3%,483
Дом / Раковины,Раковины,"4,520,264,125","10,716",2750.0%,79.9%,71.6%,346
Для ремонта / Шлифовальные машины,Шлифовальные машины,"4,394,535,945","3,629",3000.0%,84.7%,67.8%,1792
Красота / Кремы,Кремы,"4,375,323,360",570,3250.0%,93.1%,52.4%,12947
Дом / Люстры,Люстры,"4,349,391,648","7,172",2950.0%,79.4%,69.3%,1525
Сад и дача / Гарнитуры кухонные,Гарнитуры кухонные,"4,289,973,688","23,688",2650.0%,100.0%,73.2%,162
Обувь / Балетки,Балетки,"4,254,825,989","2,364",3450.0%,32.7%,56.0%,1482
Наборы автомобильных инструментов,Наборы автомобильных инструментов,"4,149,784,532","1,948",2650.0%,83.8%,68.9%,1579
Багажники автомобильные,Багажники автомобильные,"4,052,983,035","7,987",2650.0%,33.3%,72.3%,255
Мужчинам / Брюки спортивные,Брюки спортивные,"3,996,319,316","1,342",3450.0%,41.1%,50.8%,4510
Автотовары / ШРУС,ШРУСы,"3,950,922,442","3,616",2650.0%,81.8%,70.7%,592
Женщинам / Жилеты,Жилеты,"3,919,709,116","1,787",3450.0%,28.2%,52.6%,6270
Для ремонта / Мойки для кухни,Мойки для кухни,"3,873,892,208","8,114",2700.0%,80.4%,71.8%,574
Коврики автомобильные,Коврики автомобильные,"3,857,711,435","2,506",2650.0%,80.1%,69.7%,1503
Дом / Ванны,Ванны,"3,784,090,678","35,148",2750.0%,92.9%,72.2%,189
Автотовары / Ступицы,Ступицы,"3,776,447,627","5,317",2650.0%,79.0%,71.7%,715
Обувь / Шлепанцы,Шлепанцы,"3,767,619,114","1,459",3450.0%,43.8%,50.7%,2603
Автотовары / Шуруповерты,Шуруповерты,"3,735,084,432","4,642",3150.0%,84.4%,66.4%,1974
Женщинам / Сарафаны,Сарафаны,"3,723,402,511","1,270",3450.0%,31.7%,49.5%,3856
Детям / Пижамы,Пижамы,"3,719,600,537","1,223",3450.0%,57.0%,54.6%,6447
Автомобили новые,Автомобили новые,"3,566,394,252","2,831,195",50.0%,70.0%,7.0%,20
Автотовары / Фильтры воздушные,Фильтры воздушные,"3,558,508,542","1,059",2650.0%,90.6%,65.4%,1582
Другие автоаксессуары,Другие автоаксессуары,"3,498,884,164","1,068",2650.0%,86.9%,65.1%,4068
Бытовая техника / Водонагреватели,Водонагреватели,"3,445,271,745","7,120",2550.0%,76.7%,73.1%,1168
Зоотовары / Корм влажный,Корм влажный,"3,421,645,293","1,304",2150.0%,94.6%,72.3%,622
Для ремонта / Кабели электрические,Кабели электрические,"3,350,319,787","2,206",2850.0%,88.9%,68.2%,706
Дом / Постельное белье,Постельное белье,"3,335,456,822","2,930",2950.0%,80.4%,67.3%,2102
Автотовары / Сайлентблоки,Сайлентблоки,"3,302,243,285","1,024",2650.0%,79.3%,64.7%,758
Детям / Толстовки,Толстовки,"3,262,486,166","1,776",3450.0%,41.8%,53.7%,2988
Лонгсливы,Лонгсливы,"3,258,949,860","1,128",3450.0%,42.6%,48.1%,8039
Женщинам / Худи,Худи,"3,229,758,596","3,256",3450.0%,37.9%,58.2%,4681
Дом / Кабины душевые,Кабины душевые,"3,219,627,480","40,096",2750.0%,100.0%,72.3%,131
Красота / Масла,Масла моторные,"3,175,006,048","2,552",2650.0%,87.8%,70.0%,1025
Автотовары / Гайковерты,Гайковерты,"3,147,169,228","7,056",3150.0%,85.0%,67.2%,1225
Бытовая техника / Стиральные машины,Стиральные машины,"3,097,700,832","37,684",1950.0%,93.0%,80.3%,174
Аксессуары / Ювелирные серьги,Ювелирные серьги,"3,080,773,231","3,006",3300.0%,64.1%,63.2%,1011
Комплекты корпусной мебели,Комплекты корпусной мебели,"3,057,395,959","18,090",2650.0%,95.1%,73.1%,194
Женщинам / Ветровки,Ветровки,"3,054,140,644","2,619",3450.0%,32.4%,55.7%,2899
Мужчинам / Часы наручные,Часы наручные,"3,048,376,557","3,124",3450.0%,74.0%,61.9%,3261
Для ремонта / Радиаторы отопления,Радиаторы охлаждения,"3,046,253,685","9,452",2650.0%,57.1%,72.4%,386
Сад и дача / Насосы и помпы,Насосы погружные,"3,040,469,484","5,305",1950.0%,88.5%,78.9%,992
Обувь / Мюли,Мюли,"3,021,358,619","3,596",3450.0%,25.2%,57.2%,607
Мужчинам / Наборы инструментов,Наборы инструментов,"2,987,671,260","1,256",3150.0%,85.8%,61.5%,2932
Комбинезоны,Комбинезоны,"2,841,876,117","2,329",3450.0%,28.7%,55.1%,4794
Картриджи для принтеров,Картриджи для принтеров,"2,748,605,716","2,003",2450.0%,92.3%,71.3%,627
Автотовары / Подшипники ступицы,Подшипники ступицы,"2,747,571,930","2,730",2650.0%,84.9%,70.1%,898
Автотовары / Суппорты,Суппорты тормозные,"2,668,233,416","4,332",2650.0%,82.1%,71.4%,587
БАДы,БАДы,"2,591,745,502","1,020",2450.0%,90.6%,67.3%,2485
Женщинам / Солнцезащитные очки,Солнцезащитные очки,"2,557,814,873","1,436",3450.0%,42.8%,52.2%,4092
Ремкомплекты автомобильные,Ремкомплекты автомобильные,"2,531,084,733","1,010",2650.0%,89.2%,65.4%,2351
Автотовары / Диски колесные,Диски колесные,"2,524,687,963","11,657",2650.0%,75.0%,72.7%,206
Сад и дача / Газонокосилки,Газонокосилки,"2,502,702,419","13,638",1950.0%,86.8%,79.9%,607
Для ремонта / Унитазы,Унитазы,"2,486,739,317","18,926",2750.0%,71.7%,72.0%,221
Автотовары / Сцепления в сборе,Сцепления в сборе,"2,483,139,489","8,780",2650.0%,70.6%,72.2%,565
Автотовары / Генераторы в сборе,Генераторы в сборе,"2,482,075,366","12,928",2650.0%,72.8%,72.8%,496
Бытовая техника / Пылесосы,Пылесосы,"2,482,010,300","5,154",2550.0%,83.2%,73.0%,2667
Обувь / Сапоги,Сапоги,"2,479,993,310","3,988",3450.0%,32.3%,57.9%,2533
Дом / Шторы интерьерные,Шторы интерьерные,"2,472,710,700","2,974",2950.0%,66.0%,66.3%,2154
Автотовары / Опоры двигателя,Опоры двигателя,"2,425,861,972","2,995",2650.0%,83.8%,70.5%,737
Автотовары / Пружины подвески,Пружины подвески,"2,393,812,567","4,162",2650.0%,80.4%,71.2%,501
Дом / Стулья,Стулья,"2,341,815,000","9,590",2650.0%,84.4%,72.6%,1161
Туники,Туники,"2,316,397,021","1,222",3450.0%,44.6%,52.1%,3294
Дрели,Дрели,"2,293,737,690","3,908",3050.0%,82.6%,67.4%,996
Женщинам / Рюкзаки,Рюкзаки,"2,285,390,650","1,753",3450.0%,62.5%,58.5%,8446
Дом / Зеркала для ванной,Зеркала для ванной,"2,266,767,811","7,902",2750.0%,79.7%,71.4%,517
Автотовары / Стойки стабилизатора,Стойки стабилизатора,"2,266,442,010","1,152",2650.0%,86.7%,65.9%,799
Дом / Диваны,Диваны,"2,258,786,021","42,029",2150.0%,90.2%,78.3%,337
Дом / Полотенцесушители,Полотенцесушители,"2,231,645,414","12,720",2750.0%,79.7%,71.7%,392
Комплекты мебели для ванной,Комплекты мебели для ванной,"2,230,274,287","29,990",2750.0%,100.0%,72.2%,53
Красота / Шампуни,Шампуни,"2,227,159,949",924,3100.0%,93.1%,58.9%,6708
Дом / Римские шторы,Римские шторы,"2,217,014,496","12,080",2950.0%,71.6%,69.5%,39
Автотовары / Фильтры салонные,Фильтры салонные,"2,208,896,469",910,2650.0%,93.3%,64.4%,992
Стартеры электрические,Стартеры электрические,"2,155,786,358","8,676",2650.0%,80.2%,72.4%,574
Здоровье / Контактные линзы,Контактные линзы,"2,112,660,435","2,700",3050.0%,95.6%,65.9%,282
Наконечники рулевой тяги,Наконечники рулевой тяги,"2,112,375,176","1,398",2650.0%,85.5%,67.0%,734
Мужчинам / Жакеты,Жакеты,"2,108,953,896","3,958",3450.0%,27.8%,57.9%,2283
Автотовары / Катушки зажигания,Катушки зажигания,"2,108,565,569","2,770",2650.0%,84.6%,70.2%,831
Для ремонта / Перфораторы,Перфораторы,"2,088,253,392","7,424",2750.0%,82.9%,71.3%,945
Женщинам / Кардиганы,Кардиганы,"2,083,364,764","1,811",3450.0%,39.2%,53.4%,4398
Автотовары / Фары автомобильные,Фары автомобильные,"2,063,036,626","4,464",2650.0%,78.7%,71.4%,1207
Обувь / Мокасины,Мокасины,"2,058,846,117","2,156",3450.0%,34.8%,55.1%,936
Датчики автомобильные,Датчики автомобильные,"1,990,207,261","1,675",2650.0%,82.9%,68.1%,1268
Дом / Стаканы,Стаканы,"1,961,048,101",870,2950.0%,87.2%,60.0%,3029
Электроника / Видеокарты,Видеокарты,"1,952,028,705","33,724",2150.0%,81.8%,78.0%,551
Автотовары / Шаровые опоры,Шаровые опоры,"1,933,755,809","1,485",2650.0%,85.8%,67.5%,827
Для ремонта / Нивелир,Нивелиры,"1,917,812,804","3,694",3150.0%,78.8%,66.1%,638
Женщинам / Свитеры,Свитеры,"1,917,756,246","1,632",3450.0%,36.8%,52.8%,4968
Автотовары / Опоры амортизаторов,Опоры амортизаторов,"1,889,427,535","2,022",2650.0%,80.6%,68.8%,650
Мебель / Кровати,Кровати,"1,880,056,770","21,988",2650.0%,89.3%,73.1%,424
Автотовары / Фильтры масляные,Фильтры масляные,"1,871,201,391",762,2650.0%,92.2%,62.7%,1592
Для ремонта / Радиаторы отопления,Радиаторы отопления,"1,863,761,688","8,000",2750.0%,83.8%,71.4%,239
Автотовары / Комплекты ГРМ,Комплекты ГРМ,"1,857,992,533","5,805",2650.0%,74.0%,71.7%,564
Дом / Фигурки и статуэтки,Фигурки и статуэтки,"1,850,708,231","1,184",2950.0%,83.0%,62.8%,5760
Женщинам / Джемперы,Джемперы,"1,837,818,824","1,751",3450.0%,37.4%,53.5%,3361
Краски водно-дисперсионные,Краски водно-дисперсионные,"1,832,208,110","2,601",2850.0%,86.1%,68.0%,339
Шкафы для ванной комнаты,Шкафы для ванной комнаты,"1,816,162,689","9,610",2750.0%,86.2%,71.5%,332
Автотовары / Фильтры топливные,Фильтры топливные,"1,811,745,883","1,343",2650.0%,89.1%,67.0%,1190
Автотовары / Ремни приводные,Ремни приводные,"1,807,411,495","1,085",2650.0%,90.4%,65.2%,856
Мужчинам / Пуховики,Пуховики,"1,785,610,274","5,404",3450.0%,31.9%,60.3%,2206
Детям / Планшеты,Планшеты,"1,767,572,235","7,196",1950.0%,86.6%,79.2%,1093
Стабилизаторы напряжения,Стабилизаторы напряжения,"1,762,672,554","6,945",1950.0%,87.9%,79.3%,428
Велосипеды двухколесные,Велосипеды двухколесные,"1,756,672,459","17,204",2750.0%,80.8%,72.0%,443
Бытовая техника / Духовые шкафы,Духовые шкафы,"1,752,551,486","35,982",1950.0%,100.0%,80.3%,167
Детям / Наушники,Наушники,"1,750,368,935","1,597",2150.0%,85.6%,72.6%,5349
Конфеты,Конфеты,"1,733,966,955",676,2150.0%,93.7%,65.5%,3050
Красота / Гели,Гели,"1,723,518,820",696,3250.0%,93.2%,54.3%,6443
Выключатели автоматические,Выключатели автоматические,"1,723,368,881","1,776",2850.0%,91.0%,66.9%,616
Аккумуляторы для автомобилей,Аккумуляторы для автомобилей,"1,714,376,127","9,246",2650.0%,68.2%,72.4%,259
Автотовары / Насосы топливные,Насосы топливные,"1,711,523,195","4,395",2650.0%,84.8%,71.5%,892
Комплектующие двигателя,Комплектующие двигателя,"1,707,767,084","1,498",2650.0%,83.2%,67.8%,560
Женщинам / Пальто,Пальто,"1,697,474,511","5,211",3450.0%,23.2%,58.1%,3730
Дом / Ковры,Ковры,"1,696,923,370","2,765",2950.0%,80.7%,67.3%,1864
Мойки высокого давления,Мойки высокого давления,"1,685,369,287","1,997",1950.0%,87.5%,75.2%,1345
Женщинам / Бомберы,Бомберы,"1,674,680,367","2,831",3450.0%,28.9%,55.4%,2855
Щетки стеклоочистителя,Щетки стеклоочистителя,"1,672,932,129","1,351",2650.0%,86.1%,67.2%,1516
Красота / Туалетная вода,Туалетная вода,"1,671,566,423","1,410",3100.0%,91.3%,62.1%,1268
Сверла,Сверла,"1,664,574,876",790,3150.0%,91.9%,58.0%,1864
Бытовая техника / Варочные панели,Варочные панели,"1,660,756,225","19,286",1950.0%,79.9%,80.0%,301
Детям / Майки бельевые,Майки бельевые,"1,659,510,808",685,3450.0%,51.3%,43.2%,1796
Сад и дача / Шланги садовые,Шланги автомобильные,"1,644,765,061","1,220",2650.0%,89.7%,66.2%,756
Для ремонта / Коронки,Коронки,"1,641,637,260","1,522",3050.0%,87.0%,63.6%,901
Женщинам / Чай,Чай,"1,638,331,673",714,2150.0%,95.3%,66.4%,3725
Женщинам / Кофе зерновой,Кофе зерновой,"1,622,258,882","2,042",2150.0%,96.2%,74.3%,1414
Женщинам / Леггинсы,Леггинсы,"1,617,314,873",746,3450.0%,40.6%,38.0%,4052
Комплектующие для сварочных аппаратов,Комплектующие для сварочных аппаратов,"1,607,528,950",992,2950.0%,94.0%,62.7%,1184
Прокладки автомобильные,Прокладки автомобильные,"1,601,752,848",888,2650.0%,84.1%,63.3%,853
Спорт / Ролики,Ролики натяжителя,"1,580,261,342","2,260",2650.0%,78.5%,69.2%,547
Сад и дача / Шланги садовые,Шланги садовые,"1,569,438,348","1,977",2950.0%,83.8%,66.2%,2021
Бытовая техника / Бензопилы,Бензопилы,"1,555,884,672","7,600",1950.0%,80.2%,79.2%,832
Спорт / Сноускейты,Сноускейты,"1,540,459,037","2,472",2250.0%,100.0%,74.4%,90
Автотовары / Тяги рулевые,Тяги рулевые,"1,530,153,418","1,456",2650.0%,81.3%,66.9%,550
Солнечные электростанции и комплектующие,Солнечные электростанции и комплектующие,"1,523,311,840","2,551",3100.0%,88.1%,63.3%,337
Женщинам / Халаты домашние,Халаты домашние,"1,523,034,789","1,508",3450.0%,53.6%,55.8%,2079
Бамперы для снегоходов,Бамперы для снегоходов,"1,521,044,997","7,121",2150.0%,70.0%,29.3%,55
Компрессоры автомобильные,Компрессоры автомобильные,"1,513,223,861","3,044",2650.0%,88.3%,70.6%,1583
Детям / Смарт-часы,Смарт-часы,"1,506,958,269","7,076",2450.0%,79.7%,74.8%,2269
Автотовары / Защита сидений,Защита сидений,"1,504,164,661","2,210",2650.0%,88.4%,69.2%,566
Дом / Шкафы,Шкафы,"1,498,774,896","9,989",2650.0%,86.9%,72.6%,584
Детям / Свитшоты,Свитшоты,"1,496,572,505","2,196",3450.0%,39.1%,57.5%,4915
Источники бесперебойного питания,Источники бесперебойного питания,"1,486,397,250","13,798",2450.0%,85.7%,74.9%,260
Бытовая техника / Бензопилы,Пилы строительные,"1,483,120,476","7,871",3050.0%,89.5%,68.4%,906
Электроника / Мониторы,Мониторы,"1,476,526,850","12,896",2450.0%,84.3%,74.9%,617
Красота / Сыворотки,Сыворотки,"1,459,107,298",667,3250.0%,91.4%,54.6%,6380
Сад и дача / Насосы и помпы,Насосы водяные,"1,452,311,521","3,638",2650.0%,76.8%,70.9%,541
Мужчинам / Носки,Носки,"1,448,727,920",442,3450.0%,86.4%,43.3%,5363
Мебель / Кухонные модули,Модули кухонные,"1,436,943,345","6,139",2650.0%,88.8%,72.0%,219
Автотовары / Домкраты,Домкраты,"1,432,422,068","3,189",2650.0%,86.7%,70.7%,1105
Женщинам / Бейсболки,Бейсболки,"1,413,979,652",824,3450.0%,53.1%,47.7%,3171
Мужчинам / Ювелирные браслеты,Ювелирные браслеты,"1,408,015,871","1,084",3300.0%,62.5%,57.2%,767
Детям / Док-станции,Насосные станции,"1,406,328,429","10,009",1950.0%,83.4%,79.6%,423
Мужчинам / Костюмы медицинские,Костюмы медицинские,"1,402,095,096","1,615",3300.0%,31.9%,53.6%,704
Для ремонта / Генератор,Генераторы,"1,391,940,717","28,926",2850.0%,66.7%,71.2%,381
Автотовары / Свечи зажигания,Свечи зажигания,"1,380,459,504","1,154",2650.0%,88.5%,65.7%,1297
Для ремонта / Удлинители,Удлинители,"1,375,856,076","1,432",2850.0%,88.4%,65.7%,1307
Электроника / Кабели,Кабели,"1,367,993,720",687,2950.0%,90.3%,58.8%,3946
Другие автоинструменты,Другие автоинструменты,"1,355,470,437","1,002",2650.0%,90.6%,65.0%,1704
Для ремонта / Щиты электрические,Щиты электрические,"1,339,234,599","2,452",2850.0%,88.5%,68.2%,426
Бытовая техника / Сплит-системы,Сплит-системы,"1,338,873,047","42,076",1950.0%,95.5%,80.3%,149
Для ремонта / Обои,Обои,"1,332,705,294","1,820",2850.0%,78.4%,66.2%,611
Обувь / Полуботинки,Полуботинки,"1,328,827,826","3,078",3450.0%,34.7%,56.4%,1197
Пылесосы строительные,Пылесосы строительные,"1,315,486,715","9,684",3100.0%,88.3%,68.1%,456
Женщинам / Боди,Боди,"1,299,160,814","1,116",3450.0%,35.8%,45.7%,2098
Дом / Ткани для рукоделия,Ткани для рукоделия,"1,287,633,094","1,008",2950.0%,76.1%,60.9%,2907
Подшипники автомобильные,Подшипники автомобильные,"1,281,456,707","1,416",2650.0%,89.8%,67.6%,957
Ящики для инструментов,Ящики для инструментов,"1,279,173,976","2,207",3150.0%,83.5%,64.6%,957
Дом / Сковороды,Сковороды,"1,273,598,267","2,588",2950.0%,82.2%,66.8%,2291
Для ремонта / Краски по металлу,Краски по металлу,"1,260,611,187","1,789",2850.0%,86.3%,66.5%,294
Женщинам / Комплекты белья,Комплекты белья,"1,241,199,076",938,3450.0%,52.3%,50.6%,1808
Для ремонта / Динамометр,Динамометры,"1,234,914,266","1,892",3150.0%,77.2%,64.4%,196
Обувь / Слипоны,Слипоны,"1,225,568,923","1,262",3450.0%,38.2%,48.5%,803
Дом / Лампочки,Лампочки,"1,208,945,349",798,2850.0%,90.3%,61.2%,1684
Электроника / Оперативная память,Оперативная память,"1,201,283,751","11,069",2150.0%,79.3%,77.6%,465
Выключатели механические,Выключатели механические,"1,197,059,710",874,2850.0%,88.9%,61.2%,1055
Автотовары / Ключи гаечные,Ключи гаечные,"1,188,120,045",905,3150.0%,91.0%,59.7%,1588
Мужчинам / Костюмы рабочие,Костюмы рабочие,"1,182,912,565","3,465",3450.0%,46.0%,61.1%,541
Автотовары / Багажные боксы,Багажные боксы,"1,179,958,048","8,682",2650.0%,68.3%,24.6%,110
Женщинам / Шорты спортивные,Шорты спортивные,"1,176,821,481","1,226",3450.0%,41.7%,51.9%,1516
Вентиляторы автомобильные,Вентиляторы автомобильные,"1,172,318,047","5,190",2650.0%,86.5%,71.4%,894
Автотовары / Линзы в фары,Линзы в фары,"1,168,121,039","8,230",2650.0%,74.6%,72.3%,237
Бытовая техника / Машины посудомоечные,Машины посудомоечные,"1,162,042,357","36,999",1950.0%,75.0%,80.2%,190
Дом / Тюль,Тюль,"1,158,922,568","1,606",2950.0%,79.6%,64.5%,1801
Внутренние SSD-накопители,Внутренние SSD-накопители,"1,154,305,978","7,398",2150.0%,83.7%,77.2%,512
Сад и дача / Семена,Семена,"1,149,648,212",231,2450.0%,94.2%,39.5%,2208
Бытовая техника / Вентиляторы,Вентиляторы,"1,145,020,018","1,384",2550.0%,85.2%,69.1%,3507
Сад и дача / Аромалампы,Лампы автомобильные,"1,129,079,855","1,125",2650.0%,88.3%,65.7%,2256
Для ремонта / Компрессор,Компрессоры,"1,119,612,908","13,778",2900.0%,86.1%,70.2%,404
Дом / Кастрюли,Кастрюли,"1,084,905,335","2,670",2950.0%,78.9%,67.0%,1952
Дом / Матрасы,Матрасы,"1,084,253,098","27,567",2650.0%,82.4%,73.2%,486
Красота / Парфюмерная вода,Парфюмерная вода,"1,084,001,526","1,544",3250.0%,87.1%,61.6%,1714
Книги / Учебники,Учебники,"1,075,938,170",448,2150.0%,92.3%,58.8%,1812
Автотовары / Крепеж для авто,Крепеж для авто,"1,074,435,833",607,2650.0%,88.2%,59.3%,1585
Матрицы для ноутбуков,Матрицы для ноутбуков,"1,070,933,728","5,006",2750.0%,73.0%,70.7%,64
Автотовары / Краскопульты,Краскопульты,"1,065,915,101","2,975",3150.0%,87.3%,65.6%,1098
Детям / Колонки,Колонки,"1,062,467,656","2,602",2150.0%,85.0%,75.0%,2715
Женщинам / Ночные сорочки,Ночные сорочки,"1,062,296,291",900,3450.0%,57.6%,50.9%,2044
Обувь / Бутсы,Бутсы,"1,054,306,744","3,008",3450.0%,36.3%,58.8%,632
Бытовая техника / Плиты с духовкой,Плиты с духовкой,"1,050,360,892","28,818",1950.0%,85.7%,80.2%,59
Частотные преобразователи,Частотные преобразователи,"1,044,731,398","8,830",2850.0%,85.7%,70.6%,111
Женщинам / Корсеты,Корсеты,"1,042,829,589","1,184",3450.0%,29.2%,47.0%,1669
Красота / Маски косметические,Маски косметические,"1,042,044,558",670,3200.0%,92.0%,54.5%,5930
Аксессуары / Ремни,Ремни ГРМ,"1,019,372,636","2,061",2650.0%,72.0%,68.8%,499
Бытовая техника / Микроволновые печи,Микроволновые печи,"1,016,161,108","10,588",2350.0%,74.1%,75.6%,461
Красота / Краски для волос,Краски для волос,"1,003,051,517",794,3250.0%,92.1%,56.1%,1879
Автотовары / Фонари автомобильные,Фонари автомобильные,"1,002,069,449","1,838",2650.0%,86.0%,68.1%,1242
Дом / Комоды,Комоды,"999,542,535","9,470",2650.0%,81.5%,72.5%,608
Женщинам / Мягкие игрушки,Мягкие игрушки,"995,491,984","1,120",2850.0%,86.5%,64.0%,5266
Дом / Стеллажи,Стеллажи,"988,252,716","3,729",2650.0%,87.1%,71.1%,1412
Женщинам / Серьги,Серьги,"987,466,875",576,2850.0%,69.2%,53.1%,8217
Клапаны автомобильные,Клапаны автомобильные,"986,443,759","1,984",2650.0%,83.6%,68.8%,863
Мебель / Кресла компьютерные,Кресла компьютерные,"984,854,043","12,650",2650.0%,80.8%,72.8%,363
Для ремонта / Эмали строительные,Эмали строительные,"976,833,821","1,239",2850.0%,85.6%,63.8%,442
Удобрения для растений,Удобрения для растений,"973,391,703",544,2950.0%,95.8%,55.0%,2872
Бытовая техника / Роботы-пылесосы,Роботы-пылесосы,"971,190,694","6,877",2550.0%,74.4%,73.1%,735
Автотовары / Помпы автомобильные,Помпы автомобильные,"963,448,018","3,418",2650.0%,87.4%,70.7%,480
