display,name,revenue,avg_price,commission,buyout_pct,profit_pct,sellers_with_sales
Дом / Магниты,Магниты бытовые,"20,667,427",683,3100.0%,84.0%,57.4%,613
Для ремонта / Наколенники рабочие,Наколенники рабочие,"20,642,707",820,2850.0%,89.9%,60.4%,142
Для ремонта / Кнопки смыва,Кнопки выхода,"20,637,918","1,272",2450.0%,75.0%,69.7%,142
Спорт / Педали,Педали автомобильные,"20,520,476","1,649",2650.0%,66.7%,69.0%,220
Канцтовары / Корректирующие ленты,Корректирующие ленты,"20,512,033",510,2450.0%,94.2%,60.9%,353
Продукты / Кетчупы,Кетчупы,"20,485,061",610,1650.0%,95.6%,69.5%,220
Для ремонта / Шпингалет,Шпингалеты,"20,473,936",644,2850.0%,85.1%,59.3%,441
Спорт / Термоконтейнеры,Термоконтейнеры,"20,440,138","1,754",2750.0%,81.8%,68.7%,276
Кронштейны для проекторов,Кронштейны для проекторов,"20,386,442","2,340",2450.0%,81.1%,71.4%,159
Ограждения лестничные,Ограждения лестничные,"20,351,465","1,865",3150.0%,76.2%,63.5%,225
Наконечники стоматологические,Наконечники стоматологические,"20,347,500","2,740",2550.0%,94.1%,69.1%,89
Фильтры вентиляционные,Фильтры вентиляционные,"20,334,428","2,574",2750.0%,87.4%,68.8%,63
Для ремонта / Пластины крепежные,Пластины крепежные,"20,326,430",632,2850.0%,89.2%,57.6%,351
Антенны для радиостанций,Антенны для радиостанций,"20,294,247",876,2450.0%,89.0%,63.2%,243
Глушители для мототехники,Глушители для мототехники,"20,274,039","1,112",2650.0%,67.7%,65.8%,261
Ремкомплекты для москитных сеток,Ремкомплекты для москитных сеток,"20,261,382",494,2350.0%,94.3%,59.2%,451
Спорт / Туфли спортивные,Туфли спортивные,"20,259,381","1,663",3450.0%,56.5%,45.8%,66
Дом / Краски фестивальные,Краски фестивальные,"20,246,765",655,3250.0%,82.9%,51.7%,94
Мебель / Шкафы детские,Шкафы детские,"20,218,735","3,600",2650.0%,100.0%,71.5%,64
